,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
ArizonaAri,24,308,45,18,2.5,263,268,5.6,1,67,4.6,1,1,9.166666666666666,0.4,1.0,0.0,0,1
ArizonaAri,17,389,83,25,3.3,306,332,9.2,4,65,6.0,1,0,6.833333333333333,0.4,0.0,1.0,0,2
ArizonaAri,22,332,49,21,2.3,283,325,6.8,6,75,4.4,0,0,8.333333333333334,0.44,0.0,0.0,1,3
ArizonaAri,25,368,51,22,2.3,317,357,7.0,6,79,4.7,1,0,8.0,0.31,0.0,1.0,1,4
ArizonaAri,16,307,31,14,2.2,276,291,6.6,2,60,5.1,1,1,8.714285714285714,0.28,0.66,0.0,0,5
ArizonaAri,23,432,160,35,4.6,272,283,12.9,2,59,7.3,2,1,8.714285714285714,0.44,0.0,1.0,1,6
ArizonaAri,10,196,25,12,2.1,171,188,5.9,3,47,4.2,1,0,6.5,0.25,0.5,0.0,0,7
ArizonaAri,20,368,167,43,3.9,201,201,6.7,0,73,5.0,1,1,12.5,0.43,0.0,1.0,0,9
ArizonaAri,24,290,34,24,1.4,256,273,5.8,2,73,4.0,0,1,6.444444444444445,0.4,0.33,0.0,1,10
ArizonaAri,17,292,48,18,2.7,244,257,7.6,2,54,5.4,1,0,9.0,0.3,0.0,0.0,0,11
ArizonaAri,20,344,108,31,3.5,236,241,6.3,1,70,4.9,1,1,9.8,0.41,0.0,1.0,1,12
ArizonaAri,19,305,118,23,5.1,187,221,6.9,7,62,4.9,1,0,6.25,0.46,0.0,0.0,1,13
ArizonaAri,16,261,136,29,4.7,125,178,6.8,8,63,4.1,2,0,6.0,0.21,0.0,1.0,1,14
ArizonaAri,19,286,141,34,4.1,145,189,4.6,5,80,3.6,0,1,8.875,0.21,0.66,0.0,0,15
ArizonaAri,19,289,74,27,2.7,215,230,6.6,2,64,4.5,2,0,7.5,0.35,0.0,1.0,1,16
ArizonaAri,19,259,116,33,3.5,143,145,4.3,1,68,3.8,0,0,6.25,0.28,0.0,1.0,0,17
ArizonaAri,14,213,68,15,4.5,145,153,4.5,2,51,4.2,0,1,7.444444444444445,0.12,0.0,0.0,1,1
ArizonaAri,5,137,54,15,3.6,83,90,3.3,1,43,3.2,1,0,5.222222222222222,0.25,1.0,0.0,0,2
ArizonaAri,13,221,53,18,2.9,168,193,7.4,4,48,4.6,1,1,7.166666666666667,0.3,0.0,0.0,1,3
ArizonaAri,18,263,92,28,3.3,171,180,6.7,1,56,4.7,0,1,7.6,0.41,0.0,0.0,1,4
ArizonaAri,10,220,56,23,2.4,164,170,6.8,1,49,4.5,2,0,9.2,0.16,0.0,1.0,0,5
ArizonaAri,16,268,60,20,3.0,208,240,7.7,4,55,4.9,1,1,6.0,0.0,0.0,0.0,0,6
ArizonaAri,14,223,69,21,3.3,154,194,5.0,6,66,3.4,1,2,6.428571428571429,0.28,0.0,0.0,1,7
ArizonaAri,20,321,88,21,4.2,233,252,6.3,3,64,5.0,0,1,6.888888888888889,0.42,0.0,1.0,1,8
ArizonaAri,21,260,94,25,3.8,166,208,5.3,5,69,3.8,0,0,10.0,0.5,0.5,0.0,0,10
