,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
AtlantaAtl,18,372,64,23,2.8,308,321,10.7,2,55,6.8,0,0,9.125,0.45,0.0,1,0,1
AtlantaAtl,19,364,141,27,5.2,223,252,9.0,3,58,6.3,1,0,5.666666666666667,0.45,0.0,1,1,2
AtlantaAtl,26,428,151,28,5.4,277,294,8.4,2,65,6.6,0,0,8.5,0.44,0.0,1,0,3
AtlantaAtl,25,389,147,29,5.1,242,242,5.8,1,72,5.4,0,1,11.25,0.38,0.5,0,1,4
AtlantaAtl,19,339,100,19,5.3,239,248,7.1,2,56,6.1,1,0,12.166666666666666,0.54,0.0,0,1,6
AtlantaAtl,21,343,120,22,5.5,223,233,7.1,1,56,6.1,0,0,6.666666666666667,0.22,0.33,0,0,7
AtlantaAtl,18,386,140,32,4.4,246,254,8.8,1,62,6.2,0,2,11.333333333333334,0.35,0.0,1,0,8
AtlantaAtl,17,355,53,18,2.9,302,313,8.2,2,58,6.1,0,0,8.75,0.33,0.0,0,0,9
AtlantaAtl,22,336,132,34,3.9,204,215,7.4,1,64,5.2,0,0,7.0,0.53,0.0,1,1,10
AtlantaAtl,22,279,89,30,3.0,190,195,7.2,1,58,4.8,1,1,9.857142857142858,0.64,0.0,1,0,11
AtlantaAtl,23,516,148,28,5.3,368,368,10.2,0,64,8.1,0,1,10.5,0.78,0.0,1,1,12
AtlantaAtl,15,275,102,22,4.6,173,173,6.0,0,51,5.4,0,0,7.857142857142857,0.1,1.0,0,1,13
AtlantaAtl,26,343,132,37,3.6,211,221,8.2,1,65,5.3,1,0,8.75,0.58,0.0,1,1,14
AtlantaAtl,24,410,201,35,5.7,209,212,6.8,1,67,6.1,0,0,10.0,0.6,0.0,1,0,15
AtlantaAtl,15,331,67,20,3.4,264,288,8.0,5,61,5.4,1,1,9.1,0.15,0.5,0,0,16
AtlantaAtl,20,371,60,26,2.3,311,317,7.0,1,72,5.2,3,0,8.571428571428571,0.37,0.0,1,1,17
AtlantaAtl,16,299,74,18,4.1,225,251,5.8,4,65,4.6,1,0,9.0,0.26,0.0,0,0,1
AtlantaAtl,23,442,170,32,5.3,272,272,9.7,0,60,7.4,1,0,13.0,0.54,0.0,1,1,2
AtlantaAtl,24,407,48,22,2.2,359,374,10.7,3,60,6.8,0,0,10.8,0.36,0.0,0,1,3
AtlantaAtl,25,495,92,24,3.8,403,419,10.7,3,66,7.5,1,0,9.5,0.73,0.0,0,1,4
AtlantaAtl,22,324,62,19,3.3,262,305,6.8,6,70,4.6,1,1,10.714285714285714,0.42,0.33,0,0,5
AtlantaAtl,26,417,70,22,3.2,347,355,8.7,1,64,6.5,2,0,6.0,0.61,0.0,1,1,6
AtlantaAtl,22,423,67,20,3.4,356,379,9.7,3,62,6.8,0,1,5.8,0.53,0.0,1,1,7
AtlantaAtl,25,491,154,24,6.4,337,350,9.2,2,64,7.7,1,0,7.142857142857143,0.76,0.0,1,0,9
AtlantaAtl,25,382,71,19,3.7,311,330,6.3,2,73,5.2,1,2,5.0,0.35,0.5,0,0,10
AtlantaAtl,19,354,80,18,4.4,274,291,8.6,3,55,6.4,0,0,7.5,0.5,0.0,0,1,11
AtlantaAtl,21,366,26,16,1.6,340,377,8.0,6,69,5.3,1,3,13.0,0.33,0.66,0,0,12
AtlantaAtl,16,131,34,15,2.3,97,131,4.9,3,45,2.9,0,1,10.25,0.22,0.0,0,1,13
AtlantaAtl,22,344,107,24,4.5,237,262,6.2,2,68,5.1,0,1,7.769230769230769,0.25,1.0,0,0,14
AtlantaAtl,23,435,215,27,8.0,220,231,6.4,2,65,6.7,2,0,8.333333333333334,0.38,0.0,1,1,15
AtlantaAtl,16,427,194,21,9.2,233,239,9.2,1,48,8.9,3,2,10.25,0.4,0.0,1,0,16
AtlantaAtl,27,489,109,30,3.6,380,383,8.5,1,76,6.4,1,0,9.444444444444445,0.46,0.0,1,0,17
AtlantaAtl,27,345,73,17,4.3,272,304,6.6,4,67,5.1,0,1,8.666666666666666,0.25,1.0,0,0,1
AtlantaAtl,19,367,57,17,3.4,310,320,7.4,1,61,6.0,2,0,5.8,0.3,1.0,1,1,2
AtlantaAtl,25,397,93,20,4.7,304,304,8.9,0,54,7.4,0,0,8.0,0.8,0.0,0,0,3
AtlantaAtl,24,422,58,17,3.4,364,397,7.5,5,75,5.6,0,1,7.142857142857143,0.35,0.25,0,1,4
AtlantaAtl,22,373,57,20,2.9,316,330,7.2,2,68,5.5,0,0,9.0,0.56,1.0,0,0,5
AtlantaAtl,31,444,103,25,4.1,341,356,9.9,2,63,7.0,0,0,9.0,0.54,0.0,0,0,6
AtlantaAtl,14,224,38,15,2.5,186,224,6.8,5,53,4.2,0,2,9.6,0.25,0.0,0,1,7
AtlantaAtl,30,510,69,17,4.1,441,460,8.8,2,71,7.2,0,2,8.0,0.33,1.0,0,1,8
AtlantaAtl,24,317,143,34,4.2,174,182,5.2,1,70,4.5,0,0,6.857142857142857,0.4,1.0,1,0,10
AtlantaAtl,20,349,54,26,2.1,295,314,9.8,3,61,5.7,4,0,6.666666666666667,0.42,1.0,1,0,11
AtlantaAtl,22,337,57,19,3.0,280,326,5.9,6,80,4.2,2,1,8.571428571428571,0.25,0.66,0,1,12
AtlantaAtl,27,348,89,26,3.4,259,312,6.2,9,85,4.1,0,1,4.5,0.37,0.5,0,1,13
AtlantaAtl,22,461,159,32,5.0,302,313,9.2,1,67,6.9,2,0,9.666666666666666,0.41,0.0,1,1,14
AtlantaAtl,20,290,89,20,4.5,201,210,5.4,2,61,4.8,0,1,8.909090909090908,0.53,0.0,1,0,15
AtlantaAtl,28,518,135,27,5.0,383,384,8.5,1,73,7.1,0,0,7.111111111111111,0.53,0.0,1,1,16
AtlantaAtl,28,373,87,30,2.9,286,313,6.1,6,87,4.3,2,1,10.6,0.38,0.33,1,0,17
