,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
BaltimoreBal,17,268,157,42,3.7,111,121,7.1,1,60,4.5,4,0,7.7272727272727275,0.42,0.0,1,0,1
BaltimoreBal,24,337,136,32,4.2,201,217,6.4,2,68,5.0,4,1,6.428571428571429,0.36,0.0,1,1,2
BaltimoreBal,12,186,134,25,5.4,52,64,2.4,2,54,3.4,0,1,8.8,0.27,0.0,0,0,3
BaltimoreBal,18,288,82,15,5.5,206,235,4.8,4,68,4.2,1,1,9.166666666666666,0.38,0.0,0,1,4
BaltimoreBal,19,365,143,39,3.7,222,222,8.5,0,65,5.6,0,0,5.0,0.5,0.0,1,0,5
BaltimoreBal,16,291,125,26,4.8,166,180,4.4,3,70,4.2,0,1,8.625,0.16,1.0,0,1,6
BaltimoreBal,16,208,64,20,3.2,144,186,4.8,5,64,3.2,1,0,5.0,0.37,1.0,0,0,7
BaltimoreBal,19,295,174,40,4.3,121,121,5.5,0,62,4.8,2,0,8.0,0.23,0.0,1,1,8
BaltimoreBal,24,341,73,22,3.3,268,277,5.2,2,77,4.4,1,0,6.5,0.37,0.75,0,0,9
BaltimoreBal,14,219,58,26,2.2,161,183,6.5,3,57,3.8,3,0,10.0,0.21,1.0,1,0,11
BaltimoreBal,17,294,139,31,4.5,155,163,4.9,1,65,4.5,2,0,12.714285714285714,0.21,1.0,1,1,12
BaltimoreBal,24,370,101,27,3.7,269,269,7.5,0,63,5.9,2,0,12.5,0.41,0.0,1,1,13
BaltimoreBal,26,413,152,26,5.8,261,269,7.7,1,62,6.7,0,0,7.0,0.4,0.0,0,0,14
BaltimoreBal,23,376,97,31,3.1,279,288,6.9,1,74,5.1,2,0,8.142857142857142,0.43,0.0,1,0,15
BaltimoreBal,23,323,103,32,3.2,220,237,6.2,1,71,4.5,0,0,5.0,0.42,1.0,1,1,16
BaltimoreBal,19,312,118,26,4.5,194,203,4.3,1,74,4.2,0,0,9.4,0.29,0.5,0,1,17
BaltimoreBal,26,369,117,34,3.4,252,260,6.8,2,74,5.0,2,1,8.666666666666666,0.42,0.0,1,1,1
BaltimoreBal,28,425,66,22,3.0,359,376,6.8,4,81,5.2,0,1,7.285714285714286,0.43,0.5,0,0,2
BaltimoreBal,20,342,77,28,2.8,265,277,6.9,2,70,4.9,1,0,7.428571428571429,0.5,0.0,1,1,3
BaltimoreBal,24,451,96,30,3.2,355,363,8.6,2,74,6.1,1,1,7.142857142857143,0.47,1.0,1,0,4
BaltimoreBal,25,410,116,25,4.6,294,298,5.2,2,84,4.9,1,1,10.25,0.25,1.0,0,0,5
BaltimoreBal,23,361,123,35,3.5,238,238,6.4,0,72,5.0,0,0,7.0,0.7,1.0,1,0,6
BaltimoreBal,25,351,77,23,3.3,274,284,7.1,1,64,5.5,0,0,10.8,0.41,0.5,0,1,7
BaltimoreBal,20,325,101,18,5.6,224,238,5.4,2,64,5.1,0,1,7.555555555555555,0.5,0.5,0,0,8
BaltimoreBal,18,265,61,16,3.8,204,218,5.7,2,56,4.7,0,0,5.0,0.33,0.0,0,1,9
BaltimoreBal,23,403,267,53,5.0,136,150,7.9,3,75,5.4,0,0,6.2,0.5,0.0,1,1,11
BaltimoreBal,23,416,242,43,5.6,174,178,7.1,1,69,6.0,0,0,7.5,0.61,0.0,1,1,12
BaltimoreBal,25,366,207,49,4.2,159,167,6.4,2,77,4.8,0,1,9.777777777777779,0.46,1.0,1,0,13
BaltimoreBal,24,321,194,40,4.8,127,147,5.7,2,68,4.7,1,1,10.181818181818182,0.41,0.33,0,0,14
BaltimoreBal,24,370,242,49,4.9,128,131,5.7,2,74,5.0,1,2,8.75,0.56,1.0,1,1,15
BaltimoreBal,15,361,159,35,4.5,202,204,9.3,3,60,6.0,2,1,10.0,0.28,0.5,1,0,16
BaltimoreBal,24,463,296,47,6.3,167,179,7.5,2,73,6.3,3,1,6.5,0.23,1.0,1,1,17
BaltimoreBal,31,643,265,46,5.8,378,379,14.6,1,73,8.8,2,0,10.0,0.63,1.0,1,0,1
BaltimoreBal,26,440,182,33,5.5,258,272,7.4,2,72,6.1,0,0,6.2,0.5,0.0,1,1,2
BaltimoreBal,29,452,203,32,6.3,249,267,6.2,3,78,5.8,0,0,8.571428571428571,0.38,0.75,0,0,3
BaltimoreBal,24,395,173,29,6.0,222,247,7.3,4,67,5.9,1,1,5.0,0.4,0.5,0,1,4
BaltimoreBal,22,277,138,40,3.5,139,161,5.8,5,73,3.8,1,0,8.363636363636363,0.4,1.0,1,0,5
BaltimoreBal,26,497,269,43,6.3,228,236,7.2,1,77,6.5,1,1,8.1,0.6,0.0,1,1,6
