,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
BuffaloBuf,23,408,190,42,4.5,218,224,8.0,2,72,5.7,2,0,8.333333333333334,0.47,0.0,1,1,1
BuffaloBuf,10,176,69,23,3.0,107,125,5.0,3,51,3.5,0,0,8.8,0.3,0.0,0,0,2
BuffaloBuf,16,272,75,33,2.3,197,213,8.2,4,63,4.3,2,0,8.625,0.37,0.0,1,1,3
BuffaloBuf,15,281,117,36,3.2,164,182,9.1,3,59,4.8,2,0,6.111111111111111,0.46,0.0,1,0,4
BuffaloBuf,17,221,82,24,3.4,139,166,4.5,6,67,3.3,2,0,11.833333333333334,0.33,0.0,0,0,5
BuffaloBuf,23,434,173,33,5.2,261,268,8.1,1,67,6.5,1,1,8.75,0.62,0.0,1,1,7
BuffaloBuf,17,331,166,37,4.5,165,165,6.1,0,64,5.2,2,0,8.636363636363637,0.4,1.0,1,1,8
BuffaloBuf,21,307,63,22,2.9,244,285,7.1,7,69,4.4,0,3,9.0,0.37,0.0,0,0,9
BuffaloBuf,10,198,69,15,4.6,129,135,4.8,2,45,4.4,0,0,7.0,0.18,0.0,0,1,10
BuffaloBuf,18,393,173,22,7.9,220,224,5.7,1,62,6.3,0,1,8.0,0.42,0.5,0,0,11
BuffaloBuf,17,268,104,37,2.8,164,183,6.3,2,68,3.9,1,0,8.333333333333334,0.35,0.0,1,0,12
BuffaloBuf,16,268,183,26,7.0,85,115,3.4,4,64,4.2,1,0,11.333333333333334,0.38,0.0,0,1,13
BuffaloBuf,14,319,227,51,4.5,92,92,5.8,0,67,4.8,0,1,5.0,0.55,0.0,1,1,14
BuffaloBuf,21,328,116,30,3.9,212,224,7.7,2,61,5.4,3,0,9.333333333333334,0.46,0.0,1,1,15
BuffaloBuf,17,326,84,24,3.5,242,281,7.4,6,68,4.8,1,0,20.75,0.47,0.0,0,0,16
BuffaloBuf,23,312,126,32,3.9,186,204,7.6,4,63,5.0,1,0,7.5,0.41,0.0,1,0,17
BuffaloBuf,10,153,83,22,3.8,70,98,3.0,6,61,2.5,0,0,10.0,0.13,0.0,0,0,1
BuffaloBuf,17,293,84,22,3.8,209,245,7.4,5,60,4.9,0,0,5.166666666666667,0.35,0.0,0,1,2
BuffaloBuf,16,292,128,38,3.4,164,196,8.9,3,63,4.6,1,0,7.0,0.3,1.0,1,0,3
BuffaloBuf,11,145,58,16,3.6,87,151,4.6,7,56,2.6,1,1,6.666666666666667,0.18,0.0,0,0,4
BuffaloBuf,18,223,144,43,3.3,79,82,4.1,1,64,3.5,1,0,7.5,0.3,0.66,1,1,5
BuffaloBuf,12,229,100,27,3.7,129,145,5.0,2,58,3.9,2,1,8.666666666666666,0.4,0.0,0,0,6
BuffaloBuf,15,303,135,22,6.1,168,175,5.6,2,55,5.5,0,2,8.428571428571429,0.22,0.0,0,0,7
BuffaloBuf,16,333,46,19,2.4,287,313,7.6,3,63,5.3,0,1,8.5,0.28,0.0,0,1,8
BuffaloBuf,22,264,98,28,3.5,166,188,3.8,4,81,3.3,1,1,16.3,0.33,0.33,0,1,9
BuffaloBuf,23,451,212,46,4.6,239,247,9.5,1,73,6.2,2,0,7.5,0.5,1.0,1,0,10
BuffaloBuf,18,327,167,35,4.8,160,160,8.4,0,54,6.1,2,0,6.153846153846154,0.2,0.0,1,1,12
BuffaloBuf,24,415,198,31,6.4,217,231,7.0,2,66,6.3,1,1,9.23076923076923,0.38,0.0,0,0,13
