,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
CarolinaCar,20,287,116,38,3.1,171,171,6.8,0,63,4.6,1,1,8.0,0.53,0.0,1,0,1
CarolinaCar,19,255,77,28,2.8,178,228,7.1,6,66,3.9,0,0,6.666666666666667,0.43,0.0,1,1,2
CarolinaCar,18,288,132,22,6.0,156,184,5.6,4,59,4.9,0,0,5.0,0.5,0.0,0,1,3
CarolinaCar,28,444,140,29,4.8,304,316,10.9,2,60,7.4,0,1,33.0,0.66,0.0,1,0,4
CarolinaCar,16,362,28,28,1.0,334,355,10.8,3,64,5.7,0,0,9.090909090909092,0.43,0.0,1,0,5
CarolinaCar,23,305,80,25,3.2,225,239,4.6,2,79,3.9,0,0,1.0,0.25,0.33,0,1,6
CarolinaCar,20,293,108,30,3.6,185,211,6.2,5,69,4.2,0,1,8.75,0.4,0.0,0,0,7
CarolinaCar,14,254,100,31,3.2,154,154,4.8,0,63,4.0,2,0,10.2,0.47,0.0,1,0,8
CarolinaCar,20,330,201,38,5.3,129,137,5.7,1,63,5.2,1,2,5.8,0.3,0.5,1,1,9
CarolinaCar,30,548,294,36,8.2,254,254,7.3,0,71,7.7,1,0,6.166666666666667,0.78,0.0,1,1,10
CarolinaCar,17,299,145,33,4.4,154,168,6.0,3,64,4.7,0,0,8.4,0.21,1.0,1,0,12
CarolinaCar,16,279,112,23,4.9,167,183,6.5,2,53,5.3,0,1,9.0,0.3,0.0,0,0,13
CarolinaCar,15,345,216,36,6.0,129,137,5.5,2,63,5.5,2,0,8.0,0.33,0.0,1,1,14
CarolinaCar,29,387,151,38,4.0,236,242,7.8,1,70,5.5,3,0,8.0,0.5,0.0,1,1,15
CarolinaCar,20,255,115,31,3.7,140,160,6.2,2,59,4.3,0,0,8.333333333333334,0.3,1.0,1,1,16
CarolinaCar,15,248,87,24,3.6,161,180,5.3,2,60,4.1,0,0,7.0,0.33,1.0,0,0,17
CarolinaCar,20,293,147,32,4.6,146,161,6.2,3,61,4.8,0,1,8.88888888888889,0.33,0.0,1,1,1
CarolinaCar,27,439,121,18,6.7,318,335,7.4,2,65,6.8,1,0,7.0,0.45,1.0,0,0,2
CarolinaCar,23,377,230,41,5.6,147,150,6.2,1,66,5.7,4,0,5.666666666666667,0.46,0.0,1,1,3
CarolinaCar,21,350,118,31,3.8,232,237,6.8,1,67,5.2,2,0,5.5,0.3,1.0,1,1,5
CarolinaCar,22,350,81,18,4.5,269,275,6.9,1,59,5.9,0,2,6.875,0.33,0.0,0,0,6
CarolinaCar,19,371,121,17,7.1,250,269,6.9,2,58,6.4,0,0,15.6,0.45,1.0,1,0,7
CarolinaCar,22,386,154,33,4.7,232,232,7.7,0,63,6.1,2,0,7.5,0.5,1.0,1,1,8
CarolinaCar,22,407,179,32,5.6,228,247,9.9,2,59,6.9,2,0,9.333333333333334,0.4,0.0,1,1,9
CarolinaCar,18,242,95,22,4.3,147,193,6.7,5,56,4.3,0,1,8.4,0.36,1.0,0,0,10
CarolinaCar,20,387,56,16,3.5,331,357,9.4,3,57,6.8,0,0,7.5,0.45,0.0,0,0,11
CarolinaCar,26,476,220,27,8.1,256,256,8.5,0,57,8.4,0,0,10.0,0.37,0.0,0,1,12
CarolinaCar,27,444,168,19,8.8,276,300,7.1,4,65,6.8,0,0,14.857142857142858,0.37,0.0,0,0,13
CarolinaCar,22,393,96,25,3.8,297,298,6.9,1,69,5.7,0,0,6.8,0.35,0.66,0,0,14
CarolinaCar,13,247,98,23,4.3,149,181,6.0,4,57,4.3,1,1,12.0,0.46,0.5,0,1,15
CarolinaCar,29,436,141,25,5.6,295,312,5.5,2,84,5.2,0,1,8.6,0.5,0.0,0,1,16
