,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
ChicagoChi,20,301,125,19,6.6,176,213,5.3,4,63,4.8,0,0,10.0,0.38,0.5,0,1,1
ChicagoChi,19,310,20,16,1.2,290,301,6.7,1,62,5.0,0,2,7.375,0.5,0.0,0,0,2
ChicagoChi,18,306,222,38,5.8,84,101,4.6,2,62,4.9,0,1,7.3,0.33,0.0,1,1,3
ChicagoChi,20,308,103,30,3.4,205,218,6.6,1,64,4.8,0,2,7.75,0.41,1.0,0,0,4
ChicagoChi,16,274,115,29,4.0,159,166,6.4,1,56,4.9,0,1,6.875,0.25,1.0,0,1,5
ChicagoChi,18,342,231,54,4.3,111,134,7.9,4,75,4.6,2,2,8.8,0.29,0.0,1,0,6
ChicagoChi,5,153,68,26,2.6,85,107,15.3,4,37,4.1,2,0,8.0,0.18,0.0,1,1,7
ChicagoChi,17,307,157,31,5.1,150,164,5.1,2,65,4.7,0,0,7.75,0.47,0.0,0,0,8
ChicagoChi,14,323,55,17,3.2,268,297,8.5,5,57,5.7,0,1,9.75,0.28,0.0,0,1,10
ChicagoChi,25,398,222,30,7.4,176,179,6.0,1,61,6.5,0,1,12.8,0.33,1.0,0,1,11
ChicagoChi,8,140,6,14,0.4,134,147,4.5,2,49,2.9,0,0,6.222222222222222,0.23,0.0,0,0,12
ChicagoChi,8,147,62,19,3.3,85,102,6.8,2,36,4.1,1,0,7.25,0.5,0.0,0,1,13
ChicagoChi,29,482,232,38,6.1,250,271,8.5,2,72,6.7,1,0,7.4,0.36,0.5,1,0,14
ChicagoChi,22,349,43,15,2.9,306,314,6.8,2,63,5.5,0,0,7.461538461538462,0.41,0.0,0,0,15
ChicagoChi,16,258,97,31,3.1,161,193,8.4,5,59,4.4,2,0,6.25,0.43,1.0,1,1,16
ChicagoChi,12,201,30,15,2.0,171,178,4.8,1,53,3.8,0,0,11.6,0.08,0.0,0,0,17
ChicagoChi,18,294,139,27,5.1,155,171,4.9,4,66,4.5,1,1,7.0,0.41,0.0,0,0,1
ChicagoChi,20,271,86,27,3.2,185,200,5.9,2,63,4.3,1,0,7.857142857142857,0.41,1.0,1,1,2
ChicagoChi,21,316,122,31,3.9,194,220,6.3,3,69,4.6,3,1,6.428571428571429,0.35,1.0,1,0,3
ChicagoChi,28,483,139,31,4.5,344,354,13.6,1,58,8.3,3,0,9.5,0.5,0.0,1,1,4
ChicagoChi,23,467,164,31,5.3,303,316,10.2,2,64,7.3,2,2,9.666666666666666,0.66,0.0,0,0,6
ChicagoChi,29,453,134,25,5.4,319,333,6.7,2,77,5.9,1,0,8.0,0.5,1.0,0,1,7
ChicagoChi,22,395,179,34,5.3,216,220,7.6,2,65,6.1,0,0,12.5,0.33,1.0,1,1,8
ChicagoChi,11,190,64,25,2.6,126,135,6.8,1,46,4.1,3,0,9.214285714285714,0.27,0.0,1,0,9
ChicagoChi,20,402,54,22,2.5,348,355,11.8,1,53,7.6,2,0,7.666666666666667,0.4,0.0,1,1,10
ChicagoChi,24,308,148,39,3.8,160,165,5.3,1,71,4.3,2,1,9.2,0.5,0.0,1,1,11
ChicagoChi,19,264,38,15,2.5,226,238,6.3,4,57,4.6,2,1,6.666666666666667,0.3,0.0,1,0,12
ChicagoChi,23,376,118,32,3.7,258,286,7.2,5,77,4.9,1,1,7.25,0.13,0.8,0,0,13
ChicagoChi,17,294,194,35,5.5,100,110,3.7,1,66,4.5,4,0,7.5,0.43,0.0,1,1,14
ChicagoChi,19,332,100,29,3.4,232,235,8.4,1,58,5.7,1,1,6.0,0.3,0.0,1,1,15
ChicagoChi,20,325,90,28,3.2,235,246,8.5,3,60,5.4,1,2,7.5,0.45,1.0,1,0,16
ChicagoChi,17,332,169,37,4.6,163,163,6.3,0,63,5.3,0,0,9.272727272727273,0.57,0.0,1,0,17
ChicagoChi,16,254,46,15,3.1,208,228,5.1,5,65,3.9,0,0,10.7,0.2,0.0,0,1,1
ChicagoChi,18,273,153,29,5.3,120,120,4.4,0,56,4.9,1,0,9.285714285714286,0.27,1.0,1,0,2
ChicagoChi,21,298,90,24,3.8,208,231,7.5,3,58,5.1,3,0,6.555555555555555,0.61,0.0,1,0,3
ChicagoChi,17,269,72,33,2.2,197,204,6.2,1,67,4.0,0,0,7.142857142857143,0.31,0.66,1,1,4
ChicagoChi,15,236,42,17,2.5,194,231,7.7,4,51,4.6,0,0,7.5,0.36,0.0,0,0,5
ChicagoChi,16,252,17,7,2.4,235,251,4.6,2,63,4.0,0,2,3.3333333333333335,0.16,0.5,0,1,7
ChicagoChi,26,388,162,38,4.3,226,253,7.2,4,77,5.0,1,1,8.4,0.35,1.0,0,1,8
ChicagoChi,10,164,62,18,3.4,102,125,6.0,3,42,3.9,0,1,7.777777777777778,0.2,0.0,0,0,9
ChicagoChi,13,226,81,24,3.4,145,173,7.5,5,52,4.3,1,0,8.142857142857142,0.16,1.0,1,1,10
ChicagoChi,17,267,74,24,3.1,193,199,4.2,3,74,3.6,1,0,12.5,0.35,0.0,0,0,11
ChicagoChi,20,335,65,26,2.5,270,278,6.8,2,69,4.9,0,0,6.666666666666667,0.26,0.0,1,1,12
ChicagoChi,22,419,88,23,3.8,331,338,8.9,1,62,6.8,1,0,8.9,0.5,0.0,1,0,13
ChicagoChi,24,382,151,34,4.4,231,244,7.9,2,67,5.7,0,1,7.5,0.58,0.0,1,1,14
ChicagoChi,20,415,96,27,3.6,319,334,6.3,3,83,5.0,0,1,8.75,0.45,0.0,0,0,15
ChicagoChi,18,234,101,22,4.6,133,157,4.6,3,59,4.0,0,0,7.142857142857143,0.41,0.0,0,1,16
ChicagoChi,24,337,158,34,4.6,179,207,5.6,4,75,4.5,2,1,11.333333333333334,0.43,0.5,1,0,17
