,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
CincinnatiCin,14,221,77,22,3.5,144,170,5.5,5,58,3.8,1,1,7.333333333333333,0.3,0.0,0,1,1
CincinnatiCin,12,295,82,24,3.4,213,224,6.4,3,62,4.8,0,1,6.428571428571429,0.26,0.5,0,1,2
CincinnatiCin,21,301,110,30,3.7,191,212,7.9,3,60,5.0,1,1,9.714285714285714,0.33,0.0,0,0,3
CincinnatiCin,25,350,86,30,2.9,264,286,9.5,3,63,5.6,1,1,8.25,0.54,0.0,1,0,4
CincinnatiCin,18,388,65,27,2.4,323,328,9.1,1,64,6.1,1,1,11.833333333333334,0.4,0.0,1,1,5
CincinnatiCin,11,179,71,17,4.2,108,140,4.7,4,51,3.5,0,0,10.8,0.27,0.5,0,0,7
CincinnatiCin,17,276,58,21,2.8,218,243,8.4,3,53,5.2,1,2,10.8,0.36,0.0,1,1,8
CincinnatiCin,8,148,29,17,1.7,119,136,7.6,2,37,4.0,0,0,9.625,0.12,0.0,0,0,9
CincinnatiCin,15,308,53,14,3.8,255,265,7.6,1,50,6.2,1,2,7.0,0.1,1.0,0,0,10
CincinnatiCin,12,190,49,26,1.9,141,154,6.2,2,53,3.6,1,0,4.666666666666667,0.46,0.0,1,0,11
CincinnatiCin,23,361,152,30,5.1,209,214,7.6,1,59,6.1,0,0,8.75,0.4,0.0,1,1,12
CincinnatiCin,19,353,130,22,5.9,223,234,6.5,2,60,5.9,1,0,13.307692307692308,0.5,0.0,0,1,13
CincinnatiCin,14,234,70,13,5.4,164,188,5.1,3,53,4.4,0,1,8.0,0.25,0.0,0,1,14
CincinnatiCin,8,161,46,20,2.3,115,132,4.7,3,51,3.2,1,0,8.8,0.07,0.33,0,0,15
CincinnatiCin,28,364,142,34,4.2,222,238,5.8,3,78,4.7,1,0,12.0,0.5,0.0,1,1,16
CincinnatiCin,22,359,146,30,4.9,213,222,5.0,1,75,4.8,1,1,10.0,0.33,1.0,1,0,17
CincinnatiCin,19,330,101,20,5.0,229,243,8.7,2,50,6.6,1,1,11.75,0.5,0.0,1,0,1
CincinnatiCin,24,373,108,28,3.9,265,265,6.3,0,70,5.3,2,0,10.222222222222221,0.38,0.0,1,1,2
CincinnatiCin,25,396,66,13,5.1,330,352,7.7,2,61,6.5,0,0,9.0,0.4,0.0,0,0,3
CincinnatiCin,30,407,99,23,4.3,308,337,8.2,3,67,6.1,0,0,9.166666666666666,0.58,1.0,1,0,4
CincinnatiCin,17,332,103,26,4.0,229,248,8.3,2,58,5.7,2,0,7.833333333333333,0.18,0.0,1,1,5
CincinnatiCin,19,275,62,13,4.8,213,229,5.5,3,58,4.7,0,0,5.0,0.5,0.0,0,1,6
CincinnatiCin,15,239,65,19,3.4,174,187,5.7,2,54,4.4,1,0,7.25,0.36,0.0,0,0,7
CincinnatiCin,21,402,138,27,5.1,264,280,8.2,2,63,6.4,4,0,11.5,0.38,0.5,1,1,8
CincinnatiCin,13,284,110,16,6.9,174,198,8.6,4,43,6.6,0,0,6.5,0.0,0.5,0,1,10
CincinnatiCin,15,255,48,16,3.0,207,211,5.7,1,54,4.7,1,0,8.285714285714286,0.42,0.0,0,0,11
CincinnatiCin,25,372,129,20,6.5,243,255,5.5,1,67,5.6,0,1,7.384615384615385,0.33,0.5,0,1,12
CincinnatiCin,20,313,111,23,4.8,202,236,6.4,4,64,4.9,0,2,8.333333333333334,0.38,0.0,0,1,13
CincinnatiCin,19,295,144,32,4.5,151,170,6.3,3,62,4.8,0,0,5.666666666666667,0.38,0.0,0,0,14
CincinnatiCin,18,294,171,41,4.2,123,130,3.9,1,75,3.9,0,0,9.444444444444445,0.42,1.0,1,1,15
