,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
ClevelandCle,20,237,57,25,2.3,180,222,7.4,7,62,3.8,1,0,15.25,0.25,1.0,0.0,1,1
ClevelandCle,20,386,93,21,4.4,293,300,7.1,3,66,5.8,1,1,5.909090909090909,0.16,0.5,0.0,0,2
ClevelandCle,25,346,111,21,5.3,235,242,5.1,1,69,5.0,0,0,11.3,0.38,0.0,0.0,0,3
ClevelandCle,16,215,45,17,2.6,170,183,4.4,2,61,3.5,0,0,7.0,0.31,0.5,0.0,1,4
ClevelandCle,22,419,140,33,4.2,279,281,7.8,1,70,6.0,1,1,10.0,0.42,0.5,0.0,1,5
ClevelandCle,16,247,134,22,6.1,113,140,3.8,4,63,3.9,1,0,6.545454545454546,0.21,0.0,0.0,0,6
ClevelandCle,19,284,66,26,2.5,218,235,6.0,2,67,4.2,0,0,6.75,0.23,0.5,0.0,1,7
ClevelandCle,16,276,115,22,5.2,161,179,5.3,3,59,4.7,1,2,14.8,0.3,0.0,0.0,1,8
ClevelandCle,26,413,201,33,6.1,212,237,5.9,4,77,5.4,1,1,8.571428571428571,0.33,1.0,0.0,0,10
ClevelandCle,11,184,50,18,2.8,134,179,5.6,5,55,3.3,0,3,0.0,0.23,0.0,0.0,1,11
ClevelandCle,21,405,169,31,5.5,236,268,8.4,4,67,6.0,0,0,9.857142857142858,0.4,0.66,0.0,0,12
ClevelandCle,17,291,89,22,4.0,202,215,6.7,3,57,5.1,0,1,6.0,0.45,0.0,0.0,0,13
ClevelandCle,17,345,136,27,5.0,209,214,7.6,2,57,6.1,0,0,7.5,0.53,0.0,0.0,1,14
ClevelandCle,15,266,130,19,6.8,136,146,3.9,2,58,4.6,0,2,5.833333333333333,0.35,0.0,0.0,1,15
ClevelandCle,12,254,76,20,3.8,178,182,5.1,1,57,4.5,0,1,7.5,0.3,0.0,0.0,0,16
ClevelandCle,17,374,102,27,3.8,272,314,10.5,6,63,5.9,1,1,8.555555555555555,0.46,0.0,0.0,0,17
ClevelandCle,22,327,177,38,4.7,150,197,4.9,7,85,3.8,3,0,7.909090909090909,0.27,0.0,0.5,1,1
ClevelandCle,16,327,93,27,3.4,234,246,8.2,3,60,5.5,0,0,10.75,0.33,0.5,0.0,0,2
ClevelandCle,20,323,133,33,4.0,190,220,5.9,4,74,4.4,2,0,8.2,0.38,0.0,1.0,1,3
ClevelandCle,21,487,208,31,6.7,279,295,7.2,2,74,6.6,2,2,6.875,0.33,1.0,0.0,0,4
ClevelandCle,20,416,112,28,4.0,304,342,8.0,5,76,5.5,1,0,6.6,0.31,0.0,1.0,1,5
ClevelandCle,18,317,103,21,4.9,214,238,5.2,5,72,4.4,1,0,8.833333333333334,0.37,0.33,0.0,1,6
ClevelandCle,17,305,119,23,5.2,186,215,6.3,5,62,4.9,2,1,8.142857142857142,0.21,0.0,0.0,0,7
ClevelandCle,17,237,74,21,3.5,163,180,5.0,2,59,4.0,1,0,7.428571428571429,0.23,1.0,0.0,0,8
ClevelandCle,26,388,102,25,4.1,286,308,7.2,2,70,5.5,1,0,5.0,0.38,0.66,0.0,1,9
ClevelandCle,19,427,211,29,7.3,216,216,10.3,0,50,8.5,0,0,5.428571428571429,0.5,0.0,1.0,1,10
ClevelandCle,24,342,84,35,2.4,258,258,9.9,0,61,5.6,1,0,8.714285714285714,0.5,1.0,1.0,0,12
ClevelandCle,20,428,31,9,3.4,397,397,9.2,0,52,8.2,0,1,7.5,0.25,0.0,0.0,0,13
ClevelandCle,12,348,116,21,5.5,232,238,10.3,1,45,7.7,1,2,7.428571428571429,0.44,0.0,1.0,1,14
ClevelandCle,21,309,134,28,4.8,175,188,6.1,2,61,5.1,2,1,12.5,0.41,0.5,1.0,0,15
ClevelandCle,23,493,146,28,5.2,347,347,9.1,0,66,7.5,0,0,9.5,0.41,1.0,1.0,1,16
ClevelandCle,18,426,50,14,3.6,376,376,9.0,0,56,7.6,0,0,8.75,0.36,0.0,0.0,0,17
ClevelandCle,19,346,102,20,5.1,244,285,7.5,5,63,5.5,0,0,10.11111111111111,0.1,0.0,0.0,1,1
ClevelandCle,16,375,70,21,3.3,305,325,9.3,3,59,6.4,0,0,9.444444444444445,0.3,0.0,1.0,0,2
ClevelandCle,18,270,95,24,4.0,175,195,5.4,3,63,4.3,2,0,7.5,0.37,0.0,0.0,1,3
ClevelandCle,22,530,193,29,6.7,337,342,11.0,1,61,8.7,2,0,6.833333333333333,0.46,1.0,1.0,0,4
ClevelandCle,9,180,102,18,5.7,78,120,5.0,4,46,3.9,0,2,7.857142857142857,0.09,0.0,0.0,0,5
ClevelandCle,21,406,157,24,6.5,249,249,6.7,0,61,6.7,0,1,9.222222222222221,0.37,0.66,0.0,1,6
ClevelandCle,15,310,159,22,7.2,151,194,6.3,5,58,5.3,0,2,6.538461538461538,0.25,0.0,0.0,0,8
ClevelandCle,21,351,90,29,3.1,261,273,6.5,2,73,4.8,0,0,8.0,0.4,0.0,0.0,0,9
ClevelandCle,24,368,147,26,5.7,221,238,6.3,2,66,5.6,0,0,17.5,0.36,0.5,1.0,1,10
ClevelandCle,17,293,104,35,3.0,189,193,6.0,1,68,4.3,4,0,15.125,0.37,0.0,1.0,1,11
ClevelandCle,30,467,147,32,4.6,320,327,9.6,1,67,7.0,2,0,10.0,0.5,0.0,1.0,1,12
ClevelandCle,19,279,106,24,4.4,173,196,5.8,5,63,4.4,1,1,6.8,0.33,0.5,0.0,0,13
ClevelandCle,17,333,146,27,5.4,187,192,8.0,1,52,6.4,1,0,5.0,0.58,0.0,1.0,1,14
ClevelandCle,25,393,152,23,6.6,241,247,5.7,1,67,5.9,1,1,9.166666666666666,0.64,1.0,0.0,0,15
ClevelandCle,17,241,57,19,3.0,184,192,5.8,1,53,4.5,0,0,8.857142857142858,0.25,0.0,0.0,1,16
ClevelandCle,15,313,74,20,3.7,239,279,10.3,6,53,5.9,1,0,8.25,0.3,1.0,0.0,0,17
