,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
DallasDal,22,392,129,31,4.2,263,268,6.9,1,71,5.5,1,0,10.0,0.53,0.0,1,1,1
DallasDal,16,268,40,14,2.9,228,238,4.8,2,66,4.1,1,0,8.625,0.21,0.4,0,0,2
DallasDal,15,273,99,26,3.8,174,183,10.2,1,45,6.1,0,0,8.444444444444445,0.22,0.0,1,0,3
DallasDal,22,440,189,27,7.0,251,252,7.0,2,65,6.8,0,1,11.25,0.5,0.5,0,1,4
DallasDal,26,408,163,35,4.7,245,251,7.0,1,72,5.7,0,2,10.0,0.58,1.0,0,1,5
DallasDal,27,501,265,43,6.2,236,236,8.7,0,70,7.2,0,0,7.2,0.63,0.0,1,0,7
DallasDal,18,307,169,39,4.3,138,143,6.5,2,63,4.9,1,1,11.125,0.35,1.0,1,0,8
DallasDal,24,375,131,31,4.2,244,249,7.5,1,65,5.8,1,0,13.0,0.58,0.0,1,1,9
DallasDal,18,233,107,21,5.1,126,176,5.9,8,59,3.9,1,2,10.8,0.45,0.0,0,0,10
DallasDal,14,225,112,27,4.1,113,145,4.5,4,63,3.6,0,1,5.0,0.21,0.0,0,1,11
DallasDal,14,247,79,20,4.0,168,179,6.6,2,49,5.0,0,0,8.571428571428571,0.54,0.0,0,1,12
DallasDal,21,275,182,42,4.3,93,102,4.6,1,65,4.2,2,0,8.333333333333334,0.5,0.0,1,1,13
DallasDal,19,454,122,31,3.9,332,332,11.1,0,61,7.4,2,0,6.375,0.5,0.0,1,0,14
DallasDal,21,330,126,31,4.1,204,212,7.9,2,60,5.5,0,0,14.285714285714286,0.2,1.0,1,0,15
DallasDal,21,282,128,30,4.3,154,181,5.3,4,68,4.1,0,1,10.714285714285714,0.46,1.0,0,1,16
DallasDal,16,301,129,32,4.0,172,179,6.0,1,63,4.8,1,1,9.142857142857142,0.33,0.0,1,0,17
DallasDal,17,232,94,22,4.3,138,170,5.9,6,57,4.1,0,1,8.5,0.18,0.0,0,0,1
DallasDal,16,298,138,25,5.5,160,160,6.4,0,50,6.0,0,0,7.833333333333333,0.3,1.0,1,1,2
DallasDal,17,303,166,19,8.7,137,168,4.9,5,58,5.2,0,1,7.857142857142857,0.23,0.5,0,0,3
DallasDal,26,414,183,35,5.2,231,255,9.4,3,65,6.4,0,0,10.0,0.41,1.0,1,1,4
DallasDal,14,292,98,29,3.4,194,208,7.2,2,60,4.9,1,0,10.285714285714286,0.28,1.0,0,0,5
DallasDal,23,378,206,42,4.9,172,183,6.8,3,72,5.2,1,0,8.333333333333334,0.41,1.0,1,1,6
DallasDal,17,323,73,22,3.3,250,273,7.8,4,61,5.3,0,2,8.125,0.35,0.5,0,0,7
DallasDal,18,297,72,19,3.8,225,243,7.6,5,56,5.3,0,1,8.666666666666666,0.45,0.0,0,1,9
DallasDal,23,410,171,28,6.1,239,270,7.5,4,68,6.0,1,0,7.4,0.5,1.0,1,0,10
DallasDal,20,323,132,29,4.6,191,208,6.5,2,63,5.1,1,0,10.0,0.53,0.0,1,0,11
DallasDal,20,404,146,34,4.3,258,289,9.3,4,69,5.9,3,0,7.5,0.42,0.0,1,1,12
DallasDal,21,308,99,31,3.2,209,249,8.9,7,66,4.7,1,2,10.0,0.5,0.0,1,1,13
DallasDal,32,576,142,36,3.9,434,455,8.4,3,93,6.2,0,1,10.0,0.5,1.0,1,1,14
DallasDal,19,292,112,22,5.1,180,206,5.3,3,64,4.6,0,0,8.222222222222221,0.33,0.2,0,0,15
DallasDal,16,232,80,24,3.3,152,161,6.4,1,50,4.6,0,0,6.7,0.33,0.0,1,1,16
DallasDal,23,419,51,22,2.3,368,387,8.8,4,70,6.0,1,1,7.666666666666667,0.64,1.0,1,0,17
DallasDal,23,494,89,30,3.0,405,405,12.7,0,62,8.0,0,0,7.833333333333333,0.6,0.0,1,1,1
DallasDal,25,474,213,34,6.3,261,269,9.0,1,65,7.3,0,0,8.375,0.63,0.0,1,0,2
DallasDal,28,476,235,34,6.9,241,246,7.7,1,67,7.1,0,0,12.5,0.5,0.0,1,1,3
DallasDal,15,257,45,20,2.2,212,223,6.8,1,54,4.8,1,2,10.666666666666666,0.36,0.0,0,0,4
DallasDal,32,563,122,21,5.8,441,463,10.5,3,68,8.3,0,0,11.272727272727273,0.25,0.0,0,1,5
DallasDal,26,399,129,34,3.8,270,278,7.0,1,75,5.3,1,0,7.555555555555555,0.58,0.0,0,0,6
DallasDal,23,402,189,36,5.2,213,239,8.9,3,66,6.1,1,0,10.833333333333334,0.57,1.0,1,1,7
DallasDal,24,429,172,30,5.7,257,257,7.3,0,65,6.6,1,1,10.4,0.36,0.0,1,0,9
DallasDal,24,443,50,22,2.3,393,397,8.4,1,70,6.3,0,0,7.8,0.6,0.0,0,1,10
DallasDal,26,509,75,24,3.1,434,444,9.7,1,71,7.2,0,1,7.5,0.57,0.0,1,0,11
DallasDal,16,321,109,26,4.2,212,212,6.4,0,59,5.4,0,0,7.142857142857143,0.15,0.0,0,0,12
DallasDal,32,426,103,19,5.4,323,355,7.2,4,72,5.9,0,1,13.2,0.53,0.33,0,1,13
DallasDal,22,408,82,22,3.7,326,334,6.8,2,73,5.6,1,0,8.666666666666666,0.4,0.66,0,0,14
DallasDal,25,475,263,45,5.8,212,212,9.2,0,68,7.0,1,0,4.0,0.53,1.0,1,1,15
DallasDal,16,311,54,16,3.4,257,265,6.0,2,62,5.0,0,1,10.0,0.21,0.5,0,0,16
DallasDal,22,517,223,36,6.2,294,303,9.2,3,72,7.2,1,1,8.1,0.53,1.0,1,1,17
