,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
DenverDen,22,321,140,36,3.9,181,219,7.8,4,68,4.7,1,1,20.666666666666668,0.53,0.0,1,1,1
DenverDen,26,380,178,39,4.6,202,231,7.2,2,73,5.2,2,1,7.625,0.6,0.0,1,1,2
DenverDen,21,366,111,23,4.8,255,259,6.5,3,66,5.5,0,0,7.9,0.42,0.0,0,0,3
DenverDen,16,298,143,32,4.5,155,179,6.9,4,62,4.8,1,0,6.666666666666667,0.31,0.0,1,1,4
DenverDen,20,412,46,17,2.7,366,394,7.3,4,75,5.5,0,1,9.2,0.29,0.0,0,1,6
DenverDen,12,251,69,19,3.6,182,207,5.9,5,59,4.3,0,2,6.8,0.21,0.0,0,0,7
DenverDen,23,364,177,31,5.7,187,198,5.5,3,70,5.2,1,2,7.571428571428571,0.38,0.0,0,0,8
DenverDen,14,226,35,19,1.8,191,208,5.5,3,60,3.8,0,0,7.5,0.23,1.0,0,0,9
DenverDen,17,339,118,28,4.2,221,221,6.7,0,61,5.6,0,1,5.6,0.53,0.0,0,1,10
DenverDen,20,341,112,34,3.3,229,254,6.0,3,79,4.3,0,1,10.0,0.57,0.5,0,1,11
DenverDen,12,216,56,17,3.3,160,190,5.4,5,57,3.8,0,0,8.333333333333334,0.35,1.0,0,0,12
DenverDen,14,270,103,23,4.5,167,200,4.9,3,67,4.0,2,0,6.333333333333333,0.07,0.0,0,0,13
DenverDen,17,273,84,35,2.4,189,200,6.5,2,68,4.0,1,0,7.0,0.41,1.0,1,1,14
DenverDen,23,462,211,46,4.6,251,261,10.0,2,74,6.2,0,0,6.666666666666667,0.46,0.33,1,0,15
DenverDen,18,330,159,29,5.5,171,193,5.1,4,71,4.6,1,2,10.0,0.29,0.5,0,0,16
DenverDen,22,336,110,29,3.8,226,254,8.2,5,65,5.2,1,1,7.5,0.41,0.5,0,1,17
DenverDen,25,470,146,32,4.6,324,329,8.4,1,72,6.5,2,0,8.571428571428571,0.33,0.0,1,1,1
DenverDen,20,385,168,28,6.0,217,222,6.3,1,64,6.0,0,0,5.833333333333333,0.5,1.0,1,1,2
DenverDen,18,293,120,24,5.0,173,192,5.6,3,61,4.8,0,0,9.23076923076923,0.42,0.0,0,0,3
DenverDen,21,385,159,22,7.2,226,245,7.4,4,59,6.5,0,0,8.333333333333334,0.18,0.66,0,1,4
DenverDen,26,436,92,17,5.4,344,377,7.4,4,72,6.1,1,0,7.5,0.28,0.0,0,0,5
DenverDen,23,357,60,17,3.5,297,322,7.9,2,60,6.0,1,0,10.166666666666666,0.3,0.0,0,1,6
DenverDen,15,309,131,31,4.2,178,189,8.6,2,55,5.6,3,0,10.0,0.38,0.0,1,0,7
DenverDen,22,411,189,30,6.3,222,262,7.7,5,69,6.0,1,1,8.3,0.33,1.0,0,0,8
DenverDen,19,348,75,20,3.8,273,290,6.9,2,64,5.4,0,1,6.25,0.35,1.0,0,1,9
DenverDen,16,325,108,19,5.7,217,217,6.6,0,52,6.2,2,0,6.142857142857143,0.3,0.5,1,0,11
DenverDen,17,308,124,23,5.4,184,197,7.0,2,53,5.8,2,0,8.333333333333334,0.27,0.0,1,1,12
DenverDen,16,361,218,34,6.4,143,151,7.2,2,57,6.3,1,1,8.571428571428571,0.38,0.0,1,0,13
DenverDen,22,274,103,27,3.8,171,186,4.4,2,71,3.9,1,0,5.636363636363637,0.13,0.71,0,0,14
DenverDen,22,270,32,20,1.6,238,257,5.4,2,70,3.9,1,0,6.375,0.35,0.5,0,1,15
DenverDen,19,300,100,24,4.2,200,202,5.5,1,62,4.8,0,0,8.272727272727273,0.42,0.5,0,0,16
DenverDen,19,370,82,25,3.3,288,292,6.1,1,74,5.0,2,3,9.0,0.28,0.5,0,1,17
DenverDen,18,344,95,23,4.1,249,268,8.6,3,57,6.0,0,0,7.333333333333333,0.46,0.0,0,0,1
DenverDen,27,372,90,24,3.8,282,292,5.8,2,76,4.9,0,0,8.1,0.21,1.0,0,1,2
DenverDen,20,310,149,38,3.9,161,213,7.3,6,73,4.2,0,2,9.0,0.53,0.5,0,0,3
DenverDen,19,371,68,16,4.2,303,303,8.0,0,54,6.9,0,0,9.6,0.36,0.0,0,1,4
DenverDen,15,350,191,32,6.0,159,182,9.1,3,55,6.4,2,1,10.166666666666666,0.27,0.0,1,0,5
DenverDen,11,270,103,30,3.4,167,177,6.3,1,59,4.6,3,0,6.375,0.14,0.0,1,1,6
DenverDen,15,205,71,21,3.4,134,213,6.3,9,64,3.2,0,1,8.25,0.07,0.33,0,1,7
DenverDen,21,279,113,28,4.0,166,174,5.4,3,63,4.4,0,0,8.8,0.16,0.0,0,0,8
DenverDen,13,302,127,20,6.3,175,193,9.7,3,43,7.0,0,1,7.857142857142857,0.33,0.0,1,1,9
DenverDen,20,394,124,33,3.8,270,278,7.0,2,75,5.3,0,0,5.833333333333333,0.27,1.0,0,0,11
DenverDen,9,134,85,17,5.0,49,82,3.3,4,46,2.9,1,0,10.0,0.18,0.0,0,0,12
DenverDen,13,218,84,25,3.4,134,134,4.8,0,53,4.1,1,0,8.333333333333334,0.46,0.0,1,1,13
DenverDen,22,391,90,27,3.3,301,309,11.4,1,55,7.1,2,0,7.142857142857143,0.62,0.0,1,0,14
DenverDen,15,251,52,15,3.5,199,208,5.2,2,57,4.4,1,0,10.285714285714286,0.35,0.33,0,0,15
DenverDen,25,348,150,33,4.5,198,198,5.8,0,67,5.2,0,0,8.333333333333334,0.41,1.0,1,1,16
DenverDen,16,238,70,27,2.6,168,177,6.3,2,57,4.2,0,1,6.777777777777778,0.25,0.0,1,1,17
