,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
DetroitDet,19,367,82,27,3.0,285,292,7.1,1,69,5.3,3,0,10.0,0.5,0.0,1.0,1,1
DetroitDet,12,257,138,32,4.3,119,122,5.8,3,56,4.6,1,1,8.333333333333334,0.46,0.0,1.0,0,2
DetroitDet,21,324,71,19,3.7,253,264,5.9,2,66,4.9,3,0,10.88888888888889,0.23,0.0,0.0,1,3
DetroitDet,19,251,97,31,3.1,154,209,6.7,6,68,3.7,0,0,10.0,0.23,0.0,1.0,0,4
DetroitDet,19,242,50,15,3.3,192,229,6.5,6,56,4.3,0,1,10.0,0.38,0.0,0.0,1,5
DetroitDet,18,347,66,19,3.5,281,312,6.0,5,76,4.6,2,2,6.571428571428571,0.5,0.0,0.0,0,6
DetroitDet,21,482,71,22,3.2,411,423,9.4,2,69,7.0,1,1,9.5,0.16,0.0,0.0,1,8
DetroitDet,24,417,64,33,1.9,353,361,10.9,1,67,6.2,0,1,9.5,0.61,0.0,1.0,0,9
DetroitDet,16,345,104,19,5.5,241,249,9.6,4,49,7.0,1,0,11.571428571428571,0.45,0.0,1.0,1,10
DetroitDet,20,352,65,24,2.7,287,299,9.6,3,58,6.1,0,1,8.166666666666666,0.3,0.0,1.0,0,11
DetroitDet,17,289,53,15,3.5,236,250,7.1,3,53,5.5,0,1,6.75,0.27,0.0,0.0,1,12
DetroitDet,18,372,78,24,3.2,294,316,9.3,3,61,6.1,0,1,7.5,0.3,0.0,0.0,0,13
DetroitDet,21,434,53,18,2.9,381,381,8.7,0,62,7.0,2,1,13.125,0.45,0.0,1.0,0,14
DetroitDet,18,293,91,20,4.5,202,237,7.2,4,57,5.1,3,1,7.25,0.46,0.0,1.0,1,15
DetroitDet,15,276,87,22,4.0,189,203,5.8,2,59,4.7,1,0,8.222222222222221,0.4,0.5,0.0,0,16
DetroitDet,18,356,51,23,2.2,305,323,11.1,2,54,6.6,2,0,12.4,0.33,0.0,1.0,1,17
DetroitDet,20,339,39,15,2.6,300,300,5.8,0,67,5.1,1,0,5.0,0.23,0.0,0.0,1,1
DetroitDet,25,427,98,18,5.4,329,347,6.5,2,73,5.8,0,1,10.5,0.43,0.0,0.0,0,2
DetroitDet,25,414,159,33,4.8,255,262,7.3,1,70,5.9,1,0,11.666666666666666,0.5,0.0,1.0,1,3
DetroitDet,18,382,96,20,4.8,286,307,10.2,3,53,7.2,0,0,7.25,0.54,0.0,0.0,0,4
DetroitDet,18,264,94,28,3.4,170,183,7.0,3,57,4.6,0,0,8.875,0.38,0.0,1.0,1,5
DetroitDet,24,457,248,35,7.1,209,217,9.9,1,58,7.9,0,0,7.166666666666667,0.25,1.0,1.0,0,7
DetroitDet,21,331,34,13,2.6,297,310,7.8,3,56,5.9,0,2,8.0,0.6,0.0,0.0,1,8
DetroitDet,18,209,66,24,2.8,143,199,5.5,10,70,3.0,1,1,8.25,0.26,1.0,0.0,0,9
DetroitDet,24,305,76,24,3.2,229,274,6.5,6,72,4.2,0,1,6.833333333333333,0.26,0.8,0.0,0,10
DetroitDet,20,309,94,26,3.6,215,220,5.9,1,64,4.8,1,0,5.0,0.33,0.0,1.0,1,11
DetroitDet,17,333,111,24,4.6,222,236,6.2,2,64,5.2,0,0,10.8,0.35,0.5,0.0,1,12
DetroitDet,23,310,102,26,3.9,208,245,7.2,4,64,4.8,1,1,6.75,0.16,0.0,0.0,1,13
DetroitDet,16,218,122,31,3.9,96,101,4.4,1,55,4.0,1,1,9.714285714285714,0.33,0.0,1.0,0,14
DetroitDet,14,313,105,26,4.0,208,208,7.2,0,55,5.7,0,0,20.25,0.38,0.0,0.0,0,15
DetroitDet,17,223,86,23,3.7,137,161,3.7,3,69,3.2,0,0,7.857142857142857,0.25,0.33,0.0,1,16
DetroitDet,25,402,130,38,3.4,272,274,8.3,1,72,5.6,1,0,11.333333333333334,0.5,1.0,1.0,0,17
DetroitDet,23,477,116,32,3.6,361,385,8.6,3,80,6.0,1,2,6.555555555555555,0.33,0.0,0.5,0,1
DetroitDet,19,339,94,28,3.4,245,245,8.2,0,58,5.8,1,0,8.875,0.4,1.0,1.0,1,2
DetroitDet,16,287,86,28,3.1,201,201,6.3,0,60,4.8,0,0,6.777777777777778,0.42,0.0,1.0,0,3
DetroitDet,29,447,186,35,5.3,261,291,8.6,4,73,6.1,0,2,6.0,0.38,0.0,0.0,1,4
DetroitDet,13,299,56,20,2.8,243,265,8.3,3,55,5.4,1,0,6.25,0.23,1.0,0.0,0,6
DetroitDet,26,433,81,20,4.0,352,364,8.1,2,67,6.5,0,0,8.375,0.54,0.0,0.0,1,7
DetroitDet,17,375,59,25,2.4,316,342,10.7,4,61,6.1,0,1,10.714285714285714,0.57,0.0,1.0,1,8
DetroitDet,26,473,90,19,4.7,383,406,9.9,2,62,7.6,0,1,7.0,0.45,0.5,0.0,0,9
DetroitDet,21,357,98,27,3.6,259,269,5.8,2,75,4.8,0,0,9.5,0.38,0.0,0.0,0,10
DetroitDet,19,312,121,28,4.3,191,209,8.0,3,57,5.5,0,0,8.090909090909092,0.46,0.0,0.0,1,11
DetroitDet,21,364,175,32,5.5,189,207,6.3,6,71,5.1,1,1,10.833333333333334,0.4,0.0,0.0,0,12
DetroitDet,19,364,105,27,3.9,259,280,7.4,2,67,5.4,1,0,9.444444444444445,0.5,0.0,0.0,1,13
DetroitDet,18,231,70,22,3.2,161,205,5.1,5,67,3.4,0,0,7.0,0.43,1.0,0.0,0,14
DetroitDet,16,295,45,18,2.5,250,260,6.0,2,63,4.7,1,1,5.0,0.4,0.0,0.0,1,15
DetroitDet,13,191,96,21,4.6,95,117,4.9,4,49,3.9,0,0,9.714285714285714,0.36,0.0,0.0,0,16
DetroitDet,17,305,171,25,6.8,134,141,4.7,1,56,5.4,1,0,12.5,0.25,1.0,0.0,1,17
