,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
Green BayGB,26,370,84,28,3.0,286,311,7.4,4,74,5.0,0,0,8.75,0.56,0.0,1.0,1,1
Green BayGB,24,367,59,15,3.9,308,343,6.9,3,68,5.4,0,1,7.0,0.41,1.0,0.0,0,2
Green BayGB,22,344,64,17,3.8,280,313,7.5,6,65,5.3,0,0,8.25,0.46,0.0,1.0,1,3
Green BayGB,17,260,91,24,3.8,169,179,6.6,2,53,4.9,2,0,7.857142857142857,0.5,1.0,1.0,1,4
Green BayGB,25,342,160,25,6.4,182,221,7.6,4,58,5.9,1,1,6.333333333333333,0.42,1.0,1.0,0,5
Green BayGB,14,227,72,24,3.0,155,175,4.7,4,65,3.5,1,0,11.5,0.23,0.66,0.0,0,6
Green BayGB,16,260,181,24,7.5,79,87,3.5,1,50,5.2,2,0,6.75,0.36,0.0,0.0,1,7
Green BayGB,21,311,78,17,4.6,233,245,6.4,3,58,5.4,0,0,10.0,0.22,0.0,0.0,1,9
Green BayGB,18,342,160,37,4.3,182,212,8.5,3,65,5.3,0,0,7.0,0.43,1.0,1.0,0,10
Green BayGB,16,265,75,25,3.0,190,239,6.6,6,67,4.0,1,2,10.6,0.3,0.25,0.0,1,11
Green BayGB,15,307,80,24,3.3,227,245,9.4,4,54,5.7,2,0,9.0,0.46,1.0,0.0,0,12
Green BayGB,16,276,199,29,6.9,77,84,3.8,2,53,5.2,0,0,6.714285714285714,0.41,0.0,1.0,1,13
Green BayGB,24,341,85,27,3.1,256,265,5.8,1,74,4.6,2,0,6.666666666666667,0.5,0.66,1.0,0,14
Green BayGB,24,384,120,19,6.3,264,290,6.4,3,67,5.7,0,1,4.666666666666667,0.36,0.66,0.0,0,15
Green BayGB,12,239,113,24,4.7,126,130,3.2,1,65,3.7,0,0,13.166666666666666,0.26,0.0,0.0,1,16
Green BayGB,17,256,103,27,3.8,153,193,6.0,4,63,4.1,0,2,8.5,0.28,0.5,0.0,0,17
Green BayGB,16,370,69,18,3.8,301,341,9.2,4,59,6.3,0,1,9.0,0.38,0.0,1.0,1,1
Green BayGB,24,351,98,24,4.1,253,281,6.7,4,70,5.0,1,0,7.714285714285714,0.3,0.0,0.5,1,2
Green BayGB,19,340,100,17,5.9,240,265,5.9,4,66,5.2,1,1,10.454545454545455,0.42,0.0,0.0,0,3
Green BayGB,22,423,141,32,4.4,282,298,7.5,2,74,5.7,2,1,12.0,0.57,0.0,1.0,1,4
Green BayGB,30,521,98,20,4.9,423,442,8.5,4,76,6.9,0,3,9.333333333333334,0.3,1.0,0.0,0,5
Green BayGB,26,521,116,21,5.5,405,425,9.2,3,70,7.4,1,0,9.0,0.3,0.5,1.0,1,6
Green BayGB,16,359,106,19,5.6,253,286,9.5,3,52,6.9,0,1,5.0,0.22,0.0,0.0,0,8
Green BayGB,22,367,117,25,4.7,250,259,6.0,1,69,5.3,0,1,9.0,0.46,0.0,0.0,0,9
Green BayGB,21,377,195,25,7.8,182,199,7.1,2,55,6.9,1,1,7.5,0.4,0.5,1.0,1,10
Green BayGB,14,359,48,13,3.7,311,332,11.1,5,48,7.5,0,0,16.0,0.27,0.0,0.0,0,11
Green BayGB,14,254,82,19,4.3,172,198,7.1,4,51,5.0,0,1,5.0,0.2,0.0,0.0,0,12
Green BayGB,22,325,98,23,4.3,227,233,4.7,1,74,4.4,0,0,6.142857142857143,0.21,1.0,0.0,1,13
Green BayGB,23,300,138,25,5.5,162,196,6.1,4,61,4.9,1,0,6.166666666666667,0.53,0.0,1.0,1,14
Green BayGB,19,323,88,19,4.6,235,274,6.5,5,66,4.9,0,0,6.857142857142857,0.35,1.0,0.0,0,15
Green BayGB,35,540,127,20,6.3,413,442,8.0,4,79,6.8,0,1,8.6,0.41,1.0,1.0,0,16
Green BayGB,9,175,46,13,3.5,129,158,4.0,3,56,3.1,0,0,7.6,0.31,0.33,0.0,1,17
Green BayGB,13,213,47,22,2.1,166,203,6.8,5,57,3.7,1,0,7.1,0.16,0.0,1.0,0,1
Green BayGB,20,335,144,33,4.4,191,209,6.1,2,69,4.9,2,2,5.833333333333333,0.33,0.0,1.0,1,2
Green BayGB,16,312,77,23,3.3,235,235,8.1,0,52,6.0,1,0,7.571428571428571,0.22,0.0,1.0,1,3
Green BayGB,31,491,77,20,3.9,414,422,8.0,1,74,6.6,0,1,10.0,0.54,0.0,0.0,1,4
Green BayGB,24,335,120,29,4.1,215,238,7.0,2,65,5.2,3,0,8.666666666666666,0.25,0.0,1.0,0,5
Green BayGB,22,447,170,29,5.9,277,283,7.3,1,69,6.5,0,2,8.0,0.33,0.0,1.0,1,6
Green BayGB,22,481,60,23,2.6,421,429,13.8,1,55,8.7,1,0,6.666666666666667,0.6,0.0,1.0,1,7
Green BayGB,21,374,118,26,4.5,256,305,9.2,5,64,5.8,0,0,6.25,0.61,0.0,1.0,0,8
Green BayGB,13,184,45,11,4.1,139,161,4.6,3,49,3.8,0,0,5.625,0.2,0.0,0.0,0,9
Green BayGB,23,388,163,27,6.0,225,233,8.0,2,58,6.7,1,0,6.4,0.44,0.0,1.0,1,10
Green BayGB,19,198,117,28,4.2,81,119,3.2,5,70,2.8,0,1,10.0,0.06,0.33,0.0,0,12
Green BayGB,19,322,79,26,3.0,243,243,7.4,0,59,5.5,3,0,7.714285714285714,0.53,1.0,1.0,0,13
Green BayGB,18,341,174,28,6.2,167,195,7.0,4,60,5.7,1,1,6.8,0.38,1.0,1.0,1,14
Green BayGB,12,292,100,24,4.2,192,203,6.2,1,58,5.0,2,0,7.5,0.33,0.33,1.0,1,15
Green BayGB,22,383,184,32,5.8,199,216,5.4,3,75,5.1,1,2,10.0,0.35,0.0,1.0,0,16
Green BayGB,25,432,120,30,4.0,312,323,5.9,1,86,5.0,1,0,10.777777777777779,0.4,1.0,1.0,0,17
