,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
HoustonHou,23,203,93,23,4.0,110,164,4.6,10,69,2.9,0,3,10.444444444444445,0.41,0.0,0,1,1
HoustonHou,14,266,168,35,4.8,98,125,5.2,3,62,4.3,0,0,6.777777777777778,0.26,0.0,1,0,2
HoustonHou,23,417,125,32,3.9,292,301,9.1,2,67,6.2,0,0,6.0,0.42,0.0,0,0,3
HoustonHou,33,445,173,42,4.1,272,283,8.3,2,78,5.7,4,0,6.666666666666667,0.5,1.0,1,1,4
HoustonHou,20,392,144,23,6.3,248,261,8.4,3,57,6.9,0,1,8.428571428571429,0.3,1.0,0,1,5
HoustonHou,18,340,123,33,3.7,217,225,7.8,1,63,5.4,3,0,11.0,0.38,0.0,1,1,6
HoustonHou,25,509,142,34,4.2,367,402,13.4,5,69,7.4,1,0,11.625,0.2,1.0,0,0,8
HoustonHou,19,288,94,21,4.5,194,219,5.0,2,67,4.3,0,1,10.571428571428571,0.28,0.0,0,1,9
HoustonHou,17,283,89,25,3.6,194,221,6.1,3,64,4.4,0,2,7.5,0.33,0.0,0,0,10
HoustonHou,22,357,134,34,3.9,223,230,7.2,1,67,5.3,2,1,7.0,0.53,0.0,1,1,11
HoustonHou,20,303,66,25,2.6,237,252,6.8,2,64,4.7,0,1,6.0,0.42,0.0,0,0,12
HoustonHou,24,384,53,22,2.4,331,365,7.4,4,75,5.1,0,0,7.7272727272727275,0.5,1.0,0,0,13
HoustonHou,18,311,90,23,3.9,221,238,6.3,3,64,4.9,1,1,10.125,0.23,0.5,0,1,14
HoustonHou,9,186,87,21,4.1,99,128,4.1,4,56,3.3,0,0,9.071428571428571,0.25,0.0,0,0,15
HoustonHou,13,227,176,28,6.3,51,93,5.5,7,52,4.4,0,1,11.428571428571429,0.25,0.0,0,1,16
HoustonHou,15,209,85,27,3.1,124,137,5.7,2,53,3.9,0,0,4.857142857142857,0.45,0.0,0,0,17
HoustonHou,21,325,167,34,4.9,158,176,5.2,3,71,4.6,1,1,7.333333333333333,0.18,0.0,0,0,1
HoustonHou,21,437,148,26,5.7,289,310,9.7,4,62,7.0,0,0,8.0,0.45,0.0,0,0,2
HoustonHou,21,427,59,19,3.1,368,385,9.6,3,62,6.9,0,1,7.142857142857143,0.41,1.0,0,1,3
HoustonHou,30,466,119,35,3.4,347,375,8.9,7,84,5.5,0,0,5.4,0.5,1.0,1,0,4
HoustonHou,25,462,88,31,2.8,374,375,8.5,1,76,6.1,2,1,5.0,0.33,0.0,1,1,5
HoustonHou,15,216,74,24,3.1,142,177,6.8,7,57,3.8,2,1,8.333333333333334,0.23,0.0,1,1,6
HoustonHou,15,272,141,37,3.8,131,139,5.8,1,62,4.4,1,0,5.833333333333333,0.5,0.0,1,0,7
HoustonHou,17,427,188,35,5.4,239,239,11.9,0,55,7.8,1,0,7.125,0.5,1.0,1,1,8
HoustonHou,17,290,98,33,3.0,192,213,8.9,4,61,4.8,0,0,8.571428571428571,0.3,0.0,1,0,9
HoustonHou,19,320,139,31,4.5,181,208,8.7,3,58,5.5,2,1,5.714285714285714,0.36,0.0,1,0,11
HoustonHou,19,462,281,34,8.3,181,210,8.8,4,62,7.5,0,0,17.666666666666668,0.36,1.0,1,1,12
HoustonHou,25,384,187,39,4.8,197,224,7.2,4,74,5.2,3,0,15.4,0.5,0.0,1,1,13
HoustonHou,25,315,89,25,3.6,226,267,7.0,5,68,4.6,1,0,5.0,0.33,1.0,0,1,14
HoustonHou,15,286,47,17,2.8,239,294,10.5,6,51,5.6,0,0,8.6,0.11,0.0,1,0,15
HoustonHou,25,371,62,19,3.3,309,339,8.5,4,63,5.9,1,1,6.1,0.3,0.0,0,0,16
HoustonHou,23,342,134,33,4.1,208,234,6.7,6,74,4.6,1,1,7.5,0.35,1.0,1,1,17
HoustonHou,22,414,180,23,7.8,234,268,8.9,6,59,7.0,1,0,8.625,0.53,1.0,0,0,1
HoustonHou,17,263,126,30,4.2,137,159,5.5,4,63,4.2,0,0,6.714285714285714,0.4,1.0,1,1,2
HoustonHou,20,376,39,19,2.1,337,351,10.3,2,55,6.8,0,1,10.833333333333334,0.6,0.0,1,0,3
HoustonHou,18,264,136,22,6.2,128,160,4.7,6,62,4.3,0,1,11.571428571428571,0.36,0.0,0,1,4
HoustonHou,31,592,166,34,4.9,426,426,12.9,0,67,8.8,1,1,9.88888888888889,0.76,0.0,1,1,5
HoustonHou,35,472,192,41,4.7,280,280,6.7,0,83,5.7,1,1,7.0,0.41,0.66,1,0,6
HoustonHou,21,391,100,24,4.2,291,308,9.1,3,61,6.4,0,0,5.4,0.33,0.33,0,0,7
HoustonHou,29,388,130,32,4.1,258,279,7.2,3,74,5.2,0,0,7.142857142857143,0.42,1.0,1,1,8
HoustonHou,21,410,216,34,6.4,194,201,7.2,1,63,6.5,2,1,8.571428571428571,0.36,1.0,1,0,9
HoustonHou,16,232,122,20,6.1,110,169,5.6,7,57,4.1,0,1,12.0,0.2,0.25,0,0,11
HoustonHou,16,396,99,24,4.1,297,298,9.9,1,55,7.2,0,0,6.75,0.5,0.0,1,1,12
HoustonHou,16,276,52,23,2.3,224,240,9.2,3,52,5.3,1,0,9.875,0.54,0.0,1,1,13
HoustonHou,26,414,134,22,6.1,280,292,5.8,3,75,5.5,1,1,4.888888888888889,0.46,0.5,0,1,14
HoustonHou,23,374,140,35,4.0,234,243,9.0,1,63,5.9,1,0,5.4,0.5,0.0,1,0,15
HoustonHou,15,229,68,26,2.6,161,184,5.8,5,63,3.6,4,1,8.75,0.28,1.0,1,0,16
HoustonHou,20,301,109,25,4.4,192,225,6.2,4,65,4.6,0,0,7.0,0.25,0.5,0,1,17
