,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
IndianapolisInd,10,225,75,24,3.1,150,179,8.5,4,49,4.6,0,1,5.0,0.0,0.0,0,0,1
IndianapolisInd,18,266,76,29,2.6,190,216,5.8,4,70,3.8,1,0,8.75,0.44,0.0,0,1,2
IndianapolisInd,16,335,92,36,2.6,243,259,10.8,3,63,5.3,3,1,9.0,0.47,0.0,1,1,3
IndianapolisInd,16,237,98,25,3.9,139,157,5.4,3,57,4.2,2,1,6.2,0.42,0.0,0,0,4
IndianapolisInd,25,447,159,35,4.5,288,314,9.2,4,73,6.1,0,0,8.857142857142858,0.5,0.0,1,1,5
IndianapolisInd,18,297,85,19,4.5,212,212,5.7,1,57,5.2,1,1,10.2,0.22,0.0,0,0,6
IndianapolisInd,15,232,96,20,4.8,136,200,5.4,10,67,3.5,0,0,11.0,0.33,0.0,0,1,7
IndianapolisInd,19,331,115,28,4.1,216,233,6.0,4,71,4.7,0,0,6.428571428571429,0.5,0.0,0,0,8
IndianapolisInd,17,371,92,28,3.3,279,308,10.3,3,61,6.1,0,1,11.333333333333334,0.28,0.0,1,0,9
IndianapolisInd,13,267,71,29,2.4,196,222,9.2,3,56,4.8,1,0,9.11111111111111,0.4,0.0,0,1,10
IndianapolisInd,15,254,89,24,3.7,165,196,6.8,8,61,4.2,2,1,7.444444444444445,0.42,0.0,0,1,12
IndianapolisInd,17,290,141,26,5.4,149,174,4.8,4,66,4.4,0,0,7.75,0.33,1.0,0,0,13
IndianapolisInd,16,227,163,46,3.5,64,69,3.1,1,69,3.3,1,0,10.0,0.25,0.75,0,0,14
IndianapolisInd,15,228,70,22,3.2,158,158,5.3,1,53,4.3,1,0,9.75,0.46,0.0,0,1,15
IndianapolisInd,17,296,93,24,3.9,203,215,6.5,2,59,5.0,0,0,9.5,0.38,0.5,0,0,16
IndianapolisInd,20,250,146,36,4.1,104,114,4.6,1,62,4.0,1,0,5.0,0.46,0.0,1,1,17
IndianapolisInd,24,380,75,22,3.4,305,319,6.0,2,77,4.9,1,1,13.0,0.64,0.0,0,1,1
IndianapolisInd,17,281,104,28,3.7,177,179,5.8,1,60,4.7,0,0,4.333333333333333,0.56,0.0,1,0,2
IndianapolisInd,14,209,68,13,5.2,141,164,4.0,2,56,3.7,1,0,7.0,0.16,0.5,0,0,3
IndianapolisInd,28,478,41,17,2.4,437,464,7.5,4,83,5.8,1,2,8.5,0.58,0.0,0,1,4
IndianapolisInd,26,439,84,21,4.0,355,365,6.2,1,81,5.4,2,1,8.75,0.46,0.66,0,0,5
IndianapolisInd,24,428,127,23,5.5,301,301,7.0,0,66,6.5,1,1,8.25,0.41,0.0,0,0,6
IndianapolisInd,22,376,220,37,5.9,156,156,6.8,0,60,6.3,3,0,8.75,0.53,0.5,1,1,7
IndianapolisInd,28,461,222,40,5.5,239,239,7.7,0,71,6.5,0,0,7.7,0.69,0.0,1,0,8
IndianapolisInd,17,366,81,23,3.5,285,285,9.8,0,52,7.0,0,0,6.428571428571429,0.54,0.0,1,1,10
IndianapolisInd,26,397,102,28,3.6,295,295,9.2,0,60,6.6,2,0,8.571428571428571,0.5,0.0,1,1,11
IndianapolisInd,26,455,118,26,4.5,337,347,9.1,1,65,7.0,0,1,7.428571428571429,0.33,1.0,1,1,12
IndianapolisInd,19,265,41,16,2.6,224,248,4.8,3,71,3.7,0,1,10.833333333333334,0.27,0.0,0,0,13
IndianapolisInd,24,436,50,23,2.2,386,399,9.7,2,66,6.6,0,0,6.555555555555555,0.33,0.0,1,0,14
IndianapolisInd,25,370,178,39,4.6,192,192,7.1,0,66,5.6,1,1,9.166666666666666,0.66,0.0,1,1,15
IndianapolisInd,27,402,49,16,3.1,353,357,7.6,1,64,6.3,1,0,4.833333333333333,0.63,0.0,1,1,16
