,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
JacksonvilleJax,19,280,155,39,4.0,125,125,6.0,0,60,4.7,1,0,8.9,0.25,1.0,1,0,1
JacksonvilleJax,20,310,99,25,4.0,211,223,6.6,2,61,5.1,1,1,9.9,0.46,0.0,0,1,2
JacksonvilleJax,24,410,166,35,4.7,244,244,7.4,0,68,6.0,2,0,7.777777777777778,0.25,1.0,1,1,3
JacksonvilleJax,20,311,175,39,4.5,136,140,4.0,1,75,4.1,1,0,7.833333333333333,0.26,0.0,0,0,4
JacksonvilleJax,15,313,231,37,6.2,82,95,6.8,2,53,5.9,5,0,4.75,0.5,0.0,1,0,5
JacksonvilleJax,19,389,169,26,6.5,220,241,6.9,5,66,5.9,0,0,8.0,0.26,1.0,0,1,6
JacksonvilleJax,23,518,188,37,5.1,330,330,12.2,1,65,8.0,0,2,8.5,0.57,0.0,1,0,7
JacksonvilleJax,26,408,149,40,3.7,259,259,6.8,0,78,5.2,0,1,10.0,0.66,0.0,1,1,9
JacksonvilleJax,20,398,135,27,5.0,263,273,5.4,3,81,4.9,1,0,11.777777777777779,0.27,0.5,1,1,10
JacksonvilleJax,15,284,139,44,3.2,145,154,5.1,2,76,3.7,2,1,6.666666666666667,0.3,1.0,1,0,11
JacksonvilleJax,19,219,91,22,4.1,128,160,4.8,3,58,3.8,1,2,9.0,0.08,1.0,0,0,12
JacksonvilleJax,22,426,96,27,3.6,330,338,9.4,1,64,6.7,2,0,9.166666666666666,0.6,1.0,1,1,13
JacksonvilleJax,20,424,156,39,4.0,268,268,9.9,0,66,6.4,3,1,6.857142857142857,0.33,0.0,1,1,14
JacksonvilleJax,25,464,138,38,3.6,326,326,11.2,1,68,6.8,1,0,6.75,0.3,0.0,1,1,15
JacksonvilleJax,32,472,92,28,3.3,380,382,7.6,1,79,6.0,1,0,8.25,0.38,1.0,0,0,16
JacksonvilleJax,13,229,83,24,3.5,146,158,4.6,2,60,3.8,0,2,6.833333333333333,0.37,0.0,0,0,17
JacksonvilleJax,17,305,137,28,4.9,168,176,5.3,1,62,4.9,1,0,10.818181818181818,0.3,0.0,1,0,1
