,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
Kansas CityKC,26,537,185,27,6.9,352,368,10.5,3,65,8.3,0,1,9.266666666666667,0.36,0.0,1,0,1
Kansas CityKC,16,344,112,19,5.9,232,251,9.0,4,51,6.7,1,0,8.0,0.41,0.0,1,1,2
Kansas CityKC,16,311,189,25,7.6,122,155,7.4,5,51,6.1,3,0,9.384615384615385,0.33,0.0,1,0,3
Kansas CityKC,29,429,168,31,5.4,261,293,7.9,4,72,6.0,0,0,5.0,0.61,0.0,1,1,4
Kansas CityKC,29,450,127,35,3.6,323,324,8.8,1,73,6.2,0,0,10.666666666666666,0.56,0.0,1,0,5
Kansas CityKC,12,251,28,15,1.9,223,246,7.2,3,52,4.8,1,0,6.857142857142857,0.27,0.0,0,1,6
Kansas CityKC,19,425,94,23,4.1,331,342,9.5,1,60,7.1,0,0,13.5,0.53,0.0,0,0,7
Kansas CityKC,16,276,79,26,3.0,197,202,6.3,1,59,4.7,3,1,9.857142857142858,0.16,0.0,1,1,8
Kansas CityKC,17,323,68,19,3.6,255,263,7.7,2,55,5.9,0,0,6.5,0.36,0.0,0,0,9
Kansas CityKC,22,363,134,29,4.6,229,230,5.6,1,71,5.1,1,0,9.666666666666666,0.27,1.0,0,0,11
Kansas CityKC,14,236,55,19,2.9,181,199,5.5,2,57,4.1,0,0,8.333333333333334,0.15,0.0,0,1,12
Kansas CityKC,17,474,112,11,10.2,362,366,11.1,2,46,10.3,0,0,3.75,0.37,0.0,0,0,13
Kansas CityKC,23,408,165,33,5.0,243,268,7.9,4,71,5.7,2,0,9.857142857142858,0.38,0.0,1,1,14
Kansas CityKC,20,397,174,32,5.4,223,231,7.7,1,63,6.3,3,0,10.142857142857142,0.42,1.0,1,1,15
Kansas CityKC,23,404,103,34,3.0,301,304,7.8,1,74,5.5,0,0,8.0,0.5,0.0,1,1,16
Kansas CityKC,23,379,110,27,4.1,269,284,7.9,2,65,5.8,2,1,10.0,0.36,1.0,1,0,17
Kansas CityKC,19,362,106,27,3.9,256,256,9.5,1,55,6.6,1,0,8.333333333333334,0.4,0.0,1,0,1
Kansas CityKC,24,449,127,25,5.1,322,326,11.6,1,54,8.3,0,1,6.333333333333333,0.4,0.0,1,0,2
Kansas CityKC,31,384,77,28,2.8,307,314,8.3,2,68,5.6,0,0,8.0,0.63,1.0,1,1,3
Kansas CityKC,22,446,142,26,5.5,304,304,6.8,1,72,6.2,1,0,9.3,0.46,1.0,1,0,4
Kansas CityKC,26,424,126,30,4.2,298,313,8.2,1,69,6.1,4,0,9.545454545454545,0.33,0.0,1,1,5
Kansas CityKC,18,446,94,17,5.5,352,352,9.8,0,53,8.4,0,0,11.6,0.4,1.0,0,0,6
Kansas CityKC,33,551,198,29,6.8,353,358,9.2,2,70,7.9,1,0,6.125,0.75,0.0,1,1,7
Kansas CityKC,20,340,49,18,2.7,291,303,8.9,2,54,6.3,1,0,7.142857142857143,0.3,1.0,1,1,8
Kansas CityKC,27,499,139,24,5.8,360,375,11.7,2,58,8.6,1,0,7.818181818181818,0.6,0.0,1,0,9
