,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
LA ChargersLAC,17,249,64,22,2.9,185,192,5.8,1,56,4.4,1,0,10.0,0.25,0.5,0,0,1
LA ChargersLAC,24,367,44,14,3.1,323,331,8.5,1,54,6.8,0,0,9.333333333333334,0.25,0.0,0,1,2
LA ChargersLAC,24,330,104,26,4.0,226,237,5.9,2,68,4.9,0,0,7.625,0.38,0.0,0,1,3
LA ChargersLAC,18,400,58,13,4.5,342,347,9.1,2,53,7.5,0,1,4.333333333333333,0.5,0.0,0,1,4
LA ChargersLAC,21,382,124,29,4.3,258,258,5.9,0,73,5.2,1,0,7.909090909090909,0.44,0.0,1,0,5
LA ChargersLAC,20,343,80,28,2.9,263,268,7.4,1,65,5.3,2,1,8.0,0.42,0.5,1,0,6
LA ChargersLAC,14,242,80,26,3.1,162,183,7.0,3,55,4.4,1,0,9.0,0.25,0.0,1,1,7
LA ChargersLAC,16,349,157,21,7.5,192,212,7.1,1,52,6.7,0,0,7.7,0.3,1.0,0,0,8
LA ChargersLAC,16,322,87,30,2.9,235,235,6.4,0,67,4.8,2,1,11.0,0.2,0.0,0,0,10
LA ChargersLAC,28,429,146,35,4.2,283,284,7.7,1,73,5.9,5,0,13.0,0.5,0.0,1,1,11
LA ChargersLAC,25,515,81,33,2.5,434,434,13.2,0,66,7.8,2,0,11.2,0.64,0.0,1,0,12
LA ChargersLAC,23,429,94,25,3.8,335,344,8.0,1,69,6.2,1,0,12.4,0.53,1.0,1,1,13
LA ChargersLAC,24,488,174,35,5.0,314,322,9.5,2,71,6.9,1,0,8.0,0.4,0.0,1,1,14
LA ChargersLAC,20,307,98,22,4.5,209,227,6.3,2,60,5.1,0,1,6.777777777777778,0.36,0.5,0,0,15
LA ChargersLAC,21,379,89,30,3.0,290,290,7.2,0,70,5.4,1,0,10.0,0.33,0.0,1,0,16
LA ChargersLAC,26,495,115,30,3.8,380,387,10.5,1,68,7.3,1,0,9.285714285714286,0.53,0.0,1,1,17
LA ChargersLAC,33,541,123,22,5.6,418,424,8.3,1,74,7.3,0,1,6.428571428571429,0.27,1.0,0,1,1
LA ChargersLAC,21,349,109,26,4.2,240,256,9.5,2,55,6.3,2,0,7.5,0.33,0.0,1,0,2
LA ChargersLAC,16,356,141,20,7.0,215,226,7.5,2,52,6.8,1,2,7.5,0.53,0.5,0,0,3
LA ChargersLAC,21,368,126,27,4.7,242,250,6.4,1,67,5.5,2,0,9.8,0.28,1.0,1,1,4
LA ChargersLAC,19,412,79,31,2.5,333,339,12.6,1,59,7.0,1,0,9.11111111111111,0.53,0.0,1,1,5
LA ChargersLAC,24,449,246,36,6.8,203,215,10.2,1,58,7.7,2,0,7.2,0.11,0.0,1,0,6
LA ChargersLAC,14,344,47,16,2.9,297,306,11.8,2,44,7.8,1,0,7.75,0.44,0.0,1,1,7
LA ChargersLAC,18,375,160,22,7.3,215,228,8.8,2,50,7.5,1,0,8.75,0.22,0.0,1,0,9
LA ChargersLAC,16,335,113,26,4.3,222,223,8.6,1,53,6.3,0,0,11.666666666666666,0.2,1.0,1,0,10
LA ChargersLAC,26,479,95,26,3.7,384,401,9.3,3,72,6.7,0,0,8.571428571428571,0.6,0.0,0,1,11
LA ChargersLAC,30,414,178,30,5.9,236,259,8.1,4,66,6.3,1,1,7.5,0.42,1.0,1,1,12
LA ChargersLAC,22,371,85,22,3.9,286,299,8.3,2,60,6.2,1,0,16.0,0.54,0.0,1,0,13
LA ChargersLAC,17,288,85,25,3.4,203,220,7.6,2,56,5.1,0,0,6.333333333333333,0.38,1.0,1,1,14
LA ChargersLAC,30,407,119,24,5.0,288,313,8.2,5,67,6.1,0,0,7.142857142857143,0.6,1.0,1,0,15
LA ChargersLAC,14,198,51,16,3.2,147,181,4.9,4,57,3.5,0,1,8.625,0.3,0.0,0,1,16
LA ChargersLAC,17,276,116,30,3.9,160,176,7.3,1,55,5.0,1,2,8.5,0.36,0.0,1,0,17
LA ChargersLAC,25,435,125,21,6.0,310,333,9.8,4,59,7.4,0,1,6.666666666666667,0.63,0.0,1,1,1
LA ChargersLAC,21,424,137,25,5.5,287,293,8.1,1,62,6.8,2,1,7.777777777777778,0.46,0.0,0,0,2
LA ChargersLAC,22,366,73,18,4.1,293,318,6.9,5,69,5.3,0,1,9.857142857142858,0.33,0.66,0,1,3
LA ChargersLAC,24,390,79,33,2.4,311,317,10.2,1,65,6.0,1,0,8.9,0.61,0.0,1,0,4
LA ChargersLAC,19,246,35,16,2.2,211,211,4.4,0,64,3.8,1,1,10.75,0.3,0.0,0,1,5
LA ChargersLAC,23,348,32,14,2.3,316,320,7.3,1,59,5.9,1,1,9.25,0.58,0.0,0,1,6
LA ChargersLAC,24,365,39,21,1.9,326,329,8.7,1,60,6.1,1,1,7.25,0.54,0.0,0,0,7
LA ChargersLAC,11,231,36,12,3.0,195,201,6.9,1,42,5.5,1,0,6.625,0.2,0.0,1,0,8
LA ChargersLAC,24,442,159,38,4.2,283,294,10.5,2,68,6.5,0,0,9.0,0.45,1.0,1,1,9
LA ChargersLAC,26,315,146,30,4.9,169,207,6.7,5,66,4.8,0,0,8.75,0.3,0.5,0,0,10
