,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
LA RamsLA,19,373,63,33,1.9,310,318,10.6,1,64,5.8,2,1,7.142857142857143,0.35,0.0,1,1,1
LA RamsLA,14,332,97,22,4.4,235,247,9.9,2,49,6.8,0,1,10.714285714285714,0.41,1.0,0,1,2
LA RamsLA,26,418,126,32,3.9,292,292,10.4,0,60,7.0,1,2,7.428571428571429,0.66,0.0,1,0,3
LA RamsLA,24,412,168,31,5.4,244,255,7.1,1,68,6.1,1,0,5.857142857142857,0.38,0.0,1,0,4
LA RamsLA,21,375,100,22,4.5,275,288,6.1,2,71,5.3,2,3,9.0,0.53,0.0,0,1,5
LA RamsLA,12,249,142,32,4.4,107,124,5.9,3,56,4.4,1,1,10.0,0.3,0.0,1,0,6
LA RamsLA,28,425,197,40,4.9,228,235,6.4,1,78,5.4,2,0,7.5,0.68,0.0,1,1,7
LA RamsLA,20,473,162,39,4.2,311,311,14.1,0,61,7.8,1,0,9.166666666666666,0.5,0.0,1,0,9
LA RamsLA,19,443,104,25,4.2,339,361,9.5,3,66,6.7,2,0,8.6,0.37,0.0,1,1,10
LA RamsLA,15,254,45,17,2.6,209,225,6.1,2,56,4.5,0,1,7.5,0.27,0.0,0,0,11
LA RamsLA,24,415,88,25,3.5,327,354,8.0,4,73,5.7,0,0,10.0,0.21,0.0,1,1,12
LA RamsLA,18,303,90,24,3.8,213,220,7.1,1,56,5.4,2,0,5.142857142857143,0.27,1.0,1,0,13
LA RamsLA,17,307,109,17,6.4,198,199,7.7,2,45,6.8,1,2,14.571428571428571,0.28,0.0,0,1,14
LA RamsLA,19,352,244,43,5.7,108,124,5.4,2,68,5.2,0,0,8.333333333333334,0.37,0.33,1,0,15
LA RamsLA,20,402,116,26,4.5,286,301,7.7,1,66,6.1,1,1,8.8,0.42,0.5,1,0,16
LA RamsLA,15,251,102,26,3.9,149,169,5.0,3,63,4.0,2,2,7.666666666666667,0.33,1.0,0,1,17
LA RamsLA,23,365,140,26,5.4,225,233,7.1,1,60,6.1,3,0,8.75,0.36,0.0,1,0,1
LA RamsLA,24,432,90,33,2.7,342,354,11.1,2,67,6.4,1,0,9.8,0.53,0.33,1,1,2
LA RamsLA,33,521,171,35,4.9,350,354,9.8,1,72,7.2,0,1,10.666666666666666,0.72,0.0,1,1,3
LA RamsLA,25,556,100,20,5.0,456,465,13.7,1,55,10.1,0,0,7.5,0.16,0.0,1,1,4
LA RamsLA,30,468,155,30,5.2,313,321,10.0,1,63,7.4,0,0,6.428571428571429,0.33,1.0,1,0,5
LA RamsLA,24,444,270,39,6.9,174,201,7.2,5,72,6.2,1,0,8.1,0.47,1.0,1,0,6
LA RamsLA,20,339,146,36,4.1,193,202,8.4,1,61,5.6,2,0,10.0,0.41,0.0,1,0,7
LA RamsLA,23,416,135,34,4.0,281,307,8.5,5,75,5.5,0,0,7.5,0.44,1.0,1,1,8
