,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
MiamiMia,21,336,111,32,3.5,225,230,6.8,2,68,4.9,0,0,4.6,0.38,0.0,1,0,2
MiamiMia,16,225,30,15,2.0,195,220,4.9,3,63,3.6,0,0,6.375,0.08,0.0,0,0,3
MiamiMia,11,186,58,15,3.9,128,164,5.9,4,47,4.0,0,0,8.181818181818182,0.12,0.0,0,1,4
MiamiMia,12,178,100,31,3.2,78,92,3.4,1,59,3.0,0,1,4.6,0.33,0.0,1,1,5
MiamiMia,20,289,138,31,4.5,151,151,4.6,0,64,4.5,1,0,10.5,0.41,0.66,1,0,6
MiamiMia,25,357,53,25,2.1,304,326,8.8,3,65,5.5,1,0,8.444444444444445,0.38,0.0,1,1,7
MiamiMia,13,196,45,19,2.4,151,176,4.0,3,66,3.0,0,0,6.142857142857143,0.26,0.0,0,0,8
MiamiMia,23,395,86,18,4.8,309,311,7.4,1,61,6.5,1,1,9.727272727272727,0.41,0.0,0,1,9
MiamiMia,17,313,100,17,5.9,213,213,5.8,0,54,5.8,0,0,8.142857142857142,0.58,0.0,0,0,10
MiamiMia,18,448,83,19,4.4,365,365,9.1,1,60,7.5,0,2,7.235294117647059,0.46,0.0,0,1,11
MiamiMia,15,221,67,19,3.5,154,215,6.3,7,60,3.7,1,1,8.666666666666666,0.18,0.66,0,0,12
MiamiMia,15,367,145,30,4.8,222,235,7.3,2,64,5.7,3,1,12.142857142857142,0.26,0.0,1,1,13
MiamiMia,21,362,120,30,4.0,242,263,6.9,2,70,5.2,2,0,12.75,0.28,1.0,1,1,14
MiamiMia,21,349,100,21,4.8,249,274,5.6,3,73,4.8,0,0,8.571428571428571,0.31,0.5,0,0,15
MiamiMia,15,345,59,16,3.7,286,286,7.5,0,54,6.4,0,2,6.818181818181818,0.0,0.0,0,0,16
MiamiMia,21,356,93,22,4.2,263,271,6.2,1,67,5.3,0,0,10.357142857142858,0.38,0.33,0,1,17
MiamiMia,18,342,120,29,4.1,222,230,8.2,1,58,5.9,3,0,7.285714285714286,0.2,0.0,1,1,1
MiamiMia,18,257,135,31,4.4,122,168,7.3,4,58,4.4,2,2,5.0,0.46,0.0,1,0,2
MiamiMia,13,373,41,14,2.9,332,341,14.2,1,39,9.6,2,0,8.222222222222221,0.25,0.0,1,1,3
MiamiMia,11,172,56,18,3.1,116,135,5.4,2,45,3.8,2,1,8.9,0.27,1.0,0,0,4
MiamiMia,17,297,128,22,5.8,169,185,5.3,3,60,5.0,1,1,9.444444444444445,0.3,1.0,0,0,5
MiamiMia,23,541,161,31,5.2,380,380,8.6,0,75,7.2,1,1,9.571428571428571,0.47,0.0,1,1,6
MiamiMia,19,322,107,19,5.6,215,239,7.7,4,54,6.0,0,0,12.5,0.54,0.0,0,1,7
MiamiMia,18,370,116,25,4.6,254,269,7.1,2,65,5.7,0,0,12.6,0.3,0.0,0,0,8
MiamiMia,7,168,64,27,2.4,104,139,5.8,4,55,3.1,4,0,11.0,0.18,1.0,1,1,9
MiamiMia,19,294,131,23,5.7,163,213,5.8,6,66,4.5,0,1,3.3333333333333335,0.28,0.75,0,0,10
MiamiMia,14,314,113,25,4.5,201,204,8.2,1,51,6.2,2,1,7.5,0.36,0.0,0,0,12
MiamiMia,15,175,60,23,2.6,115,137,5.7,3,50,3.5,2,0,11.125,0.22,0.0,1,1,13
MiamiMia,20,412,189,21,9.0,223,265,13.9,5,45,9.2,0,0,11.571428571428571,0.14,0.0,1,1,14
MiamiMia,12,193,156,20,7.8,37,108,4.5,9,53,3.6,1,0,6.125,0.16,0.0,0,0,15
MiamiMia,11,183,62,18,3.4,121,146,6.6,3,43,4.3,0,1,9.5,0.22,0.0,0,1,16
MiamiMia,17,225,99,25,4.0,126,150,4.7,4,61,3.7,1,2,8.75,0.25,1.0,0,0,17
MiamiMia,12,200,21,12,1.8,179,190,5.9,3,47,4.3,0,1,7.111111111111111,0.3,0.0,0,1,1
MiamiMia,11,184,42,15,2.8,142,186,4.8,7,61,3.0,0,0,5.5,0.13,0.5,0,1,2
MiamiMia,17,283,72,24,3.0,211,229,5.6,3,68,4.2,1,1,7.0,0.2,0.33,0,0,3
MiamiMia,13,233,72,18,4.0,161,180,7.5,5,47,5.0,0,0,10.6,0.5,0.0,0,1,4
MiamiMia,21,271,84,21,4.0,187,217,5.0,5,69,3.9,0,0,9.0,0.21,1.0,0,1,6
MiamiMia,24,381,109,30,3.6,272,282,8.1,1,66,5.8,0,1,9.166666666666666,0.53,1.0,0,0,7
MiamiMia,16,230,60,19,3.2,170,190,5.6,4,57,4.0,1,2,9.0,0.37,0.0,0,0,8
MiamiMia,22,316,50,24,2.1,266,288,8.0,4,64,4.9,1,0,8.5,0.5,0.0,1,1,9
MiamiMia,13,229,70,26,2.7,159,169,5.1,3,62,3.7,3,1,7.5,0.37,0.5,1,0,10
MiamiMia,19,303,23,13,1.8,280,323,7.2,7,65,4.7,0,1,7.333333333333333,0.28,0.25,0,1,11
MiamiMia,22,284,92,20,4.6,192,214,5.5,4,63,4.5,1,0,11.75,0.42,0.0,0,0,12
MiamiMia,26,409,58,20,2.9,351,366,9.2,3,63,6.5,1,0,8.428571428571429,0.41,1.0,1,1,13
MiamiMia,22,362,122,26,4.7,240,245,6.6,2,65,5.6,1,0,9.6,0.3,0.0,0,0,14
MiamiMia,22,384,122,25,4.9,262,279,6.8,3,69,5.6,3,1,6.0,0.23,0.33,0,0,15
MiamiMia,29,502,96,34,2.8,406,419,8.1,2,88,5.7,0,0,7.833333333333333,0.37,0.0,1,1,16
MiamiMia,26,389,63,22,2.9,326,340,7.7,2,68,5.7,1,0,8.75,0.41,0.0,1,0,17
