,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
MinnesotaMin,23,470,129,30,4.3,341,346,10.8,1,63,7.5,0,0,10.0,0.64,0.0,1.0,1,1
MinnesotaMin,14,237,91,20,4.5,146,167,4.4,2,60,4.0,0,1,11.909090909090908,0.33,0.0,0.0,0,2
MinnesotaMin,25,494,125,37,3.4,369,369,11.2,0,70,7.1,3,0,10.6,0.53,0.0,1.0,1,3
MinnesotaMin,15,284,87,22,4.0,197,219,7.3,2,54,5.3,0,3,5.0,0.3,0.0,0.0,1,4
MinnesotaMin,17,300,159,31,5.1,141,176,5.5,4,67,4.5,1,0,7.666666666666667,0.4,0.0,1.0,0,5
MinnesotaMin,24,351,112,32,3.5,239,239,6.3,0,70,5.0,3,1,9.285714285714286,0.33,0.0,1.0,1,6
MinnesotaMin,17,357,169,33,5.1,188,188,6.1,0,64,5.6,0,0,11.75,0.46,0.0,1.0,1,7
MinnesotaMin,26,375,88,34,2.6,287,288,6.7,1,78,4.8,0,0,11.6,0.37,0.0,1.0,0,8
MinnesotaMin,21,406,102,31,3.3,304,304,10.5,0,60,6.8,1,0,13.333333333333334,0.66,0.0,1.0,0,10
MinnesotaMin,27,451,171,35,4.9,280,280,7.4,0,73,6.2,0,0,9.285714285714286,0.5,1.0,1.0,1,11
MinnesotaMin,28,408,136,41,3.3,272,282,9.4,2,73,5.6,1,0,8.222222222222221,0.46,0.0,1.0,0,12
MinnesotaMin,22,312,105,31,3.4,207,227,7.6,2,63,5.0,0,0,8.5,0.5,0.0,1.0,0,13
MinnesotaMin,21,356,100,21,4.8,256,280,6.4,6,71,5.0,1,1,15.0,0.46,0.0,0.0,0,14
MinnesotaMin,18,346,124,34,3.6,222,236,9.4,2,61,5.7,2,0,8.454545454545455,0.33,0.0,1.0,1,15
MinnesotaMin,15,236,112,33,3.4,124,139,5.6,3,61,3.9,2,0,5.0,0.26,0.0,1.0,0,16
MinnesotaMin,21,327,147,36,4.1,180,189,6.5,2,67,4.9,0,0,8.583333333333334,0.38,0.0,1.0,1,17
MinnesotaMin,19,343,116,32,3.6,227,244,6.8,3,71,4.8,3,1,7.428571428571429,0.41,0.0,1.0,1,1
MinnesotaMin,24,480,68,18,3.8,412,425,8.9,2,68,7.1,0,0,8.75,0.5,0.0,0.5,0,2
MinnesotaMin,21,292,14,6,2.3,278,296,5.4,4,65,4.5,0,2,9.833333333333334,0.35,0.0,0.0,1,3
MinnesotaMin,25,446,54,17,3.2,392,422,8.4,4,71,6.3,0,1,8.75,0.5,1.0,0.0,0,4
MinnesotaMin,19,375,77,23,3.3,298,301,8.1,1,61,6.1,0,1,5.75,0.36,0.0,1.0,0,5
MinnesotaMin,20,411,195,32,6.1,216,233,6.9,4,70,5.9,1,1,5.777777777777778,0.35,0.0,1.0,1,6
MinnesotaMin,15,316,88,24,3.7,228,241,6.0,1,65,4.9,3,0,9.166666666666666,0.13,1.0,1.0,0,7
MinnesotaMin,27,423,85,22,3.9,338,359,8.8,4,67,6.3,1,1,9.0,0.5,0.66,0.0,1,8
MinnesotaMin,17,283,128,23,5.6,155,164,7.5,1,46,6.2,0,1,5.0,0.37,1.0,1.0,1,9
MinnesotaMin,19,268,22,14,1.6,246,262,5.7,2,62,4.3,2,1,12.5,0.41,1.0,0.0,0,11
MinnesotaMin,22,416,91,29,3.1,325,342,9.0,2,69,6.0,0,0,9.166666666666666,0.5,0.0,1.0,1,12
MinnesotaMin,16,278,95,13,7.3,183,201,4.6,2,59,4.7,1,0,11.0,0.25,0.5,0.0,0,13
MinnesotaMin,16,276,77,21,3.7,199,208,6.3,2,56,4.9,1,1,12.75,0.2,0.0,0.0,0,14
MinnesotaMin,22,418,220,40,5.5,198,215,10.2,2,63,6.6,0,0,7.5,0.38,0.0,1.0,1,15
MinnesotaMin,16,340,100,28,3.6,240,253,9.0,2,58,5.9,0,0,7.090909090909091,0.3,0.0,1.0,0,16
MinnesotaMin,12,164,63,15,4.2,101,132,4.0,4,52,3.2,0,0,10.0,0.09,0.25,0.0,1,17
MinnesotaMin,18,269,172,38,4.5,97,98,9.8,1,49,5.5,2,0,9.090909090909092,0.5,0.0,1.0,1,1
MinnesotaMin,15,421,198,27,7.3,223,230,7.2,1,60,7.0,0,2,12.5,0.3,0.0,0.0,0,2
MinnesotaMin,23,385,211,38,5.6,174,174,8.3,0,59,6.5,1,0,9.833333333333334,0.55,0.0,1.0,1,3
MinnesotaMin,15,222,40,16,2.5,182,233,6.5,6,58,3.8,0,2,7.857142857142857,0.38,0.5,0.0,0,4
MinnesotaMin,22,490,211,34,6.2,279,306,11.3,3,64,7.7,1,1,9.333333333333334,0.45,1.0,1.0,0,5
MinnesotaMin,26,447,122,35,3.5,325,333,11.5,1,65,6.9,2,1,7.5,0.2,1.0,1.0,1,6
MinnesotaMin,32,504,166,37,4.5,338,338,9.9,0,71,7.1,1,0,10.0,0.6,0.0,1.0,0,7
MinnesotaMin,22,434,161,38,4.2,273,285,11.0,3,67,6.5,1,1,10.571428571428571,0.53,0.33,1.0,1,8
MinnesotaMin,17,308,96,27,3.6,212,220,5.8,1,66,4.7,0,0,8.333333333333334,0.33,1.0,0.0,0,9
MinnesotaMin,27,364,153,36,4.2,211,220,6.9,1,69,5.3,1,0,7.0,0.57,1.0,1.0,0,10
MinnesotaMin,19,321,37,18,2.1,284,319,9.1,5,58,5.5,1,2,9.8,0.41,1.0,1.0,1,11
MinnesotaMin,17,354,78,14,5.6,276,276,7.3,0,52,6.8,1,2,10.0,0.5,0.0,0.0,0,13
MinnesotaMin,22,354,120,39,3.1,234,242,8.1,1,70,5.1,2,0,6.875,0.35,0.0,1.0,1,14
MinnesotaMin,18,344,137,37,3.7,207,207,8.3,0,62,5.5,3,0,8.2,0.5,0.0,1.0,0,15
MinnesotaMin,7,139,57,16,3.6,82,122,3.8,5,53,2.6,1,0,10.0,0.26,0.0,0.0,1,16
MinnesotaMin,14,300,174,26,6.7,126,126,6.0,0,47,6.4,0,1,13.333333333333334,0.44,0.0,0.0,1,17
