,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
NY GiantsNYG,13,233,35,12,2.9,198,220,5.8,3,53,4.4,0,0,9.166666666666666,0.33,1.0,0,0,1
NY GiantsNYG,14,270,62,18,3.4,208,239,7.5,5,55,4.9,0,0,7.142857142857143,0.33,0.0,0,1,2
NY GiantsNYG,21,415,49,17,2.9,366,366,7.8,0,64,6.5,0,0,13.7,0.3,0.0,0,0,3
NY GiantsNYG,24,379,91,28,3.2,288,288,5.9,0,77,4.9,0,0,0.0,0.47,0.0,0,0,4
NY GiantsNYG,18,335,152,25,6.1,183,225,6.2,5,66,5.1,1,1,6.7,0.33,0.0,0,1,5
NY GiantsNYG,12,266,148,32,4.6,118,128,6.7,3,54,4.9,2,0,15.4,0.28,0.0,1,0,6
NY GiantsNYG,14,177,46,17,2.7,131,134,3.4,1,57,3.1,0,1,4.0,0.16,0.0,0,1,7
NY GiantsNYG,17,319,111,26,4.3,208,220,5.8,2,66,4.8,0,2,13.0,0.5,0.0,0,1,9
NY GiantsNYG,19,374,114,23,5.0,260,273,7.4,3,63,5.9,1,1,8.75,0.35,1.0,0,0,10
NY GiantsNYG,20,317,112,32,3.5,205,205,5.7,0,68,4.7,3,0,9.6,0.23,0.66,1,1,11
NY GiantsNYG,7,170,84,24,3.5,86,113,4.2,4,55,3.1,1,0,13.166666666666666,0.14,0.5,0,0,12
NY GiantsNYG,15,265,65,24,2.7,200,212,6.2,3,61,4.3,0,2,5.0,0.35,0.0,0,0,13
NY GiantsNYG,21,330,102,29,3.5,228,228,5.0,0,75,4.4,0,0,9.857142857142858,0.37,0.0,0,1,14
NY GiantsNYG,27,504,75,23,3.3,429,434,7.6,1,81,6.2,0,0,13.4,0.55,0.0,0,1,15
NY GiantsNYG,12,293,43,20,2.1,250,263,5.8,2,67,4.4,2,1,10.1,0.07,0.25,0,0,16
NY GiantsNYG,17,381,260,44,5.9,121,132,4.7,2,74,5.1,3,0,8.333333333333334,0.25,0.0,1,1,17
NY GiantsNYG,15,324,114,23,5.0,210,224,6.1,2,62,5.2,1,1,7.166666666666667,0.3,0.0,0,1,1
NY GiantsNYG,17,255,35,17,2.1,220,279,6.3,6,67,3.8,0,1,8.0,0.47,1.0,0,0,2
NY GiantsNYG,21,379,114,27,4.2,265,297,10.2,4,60,6.3,1,0,6.666666666666667,0.53,0.0,1,0,3
NY GiantsNYG,22,299,65,15,4.3,234,255,6.2,3,59,5.1,0,2,11.166666666666666,0.5,0.0,0,1,4
NY GiantsNYG,18,432,50,16,3.1,382,383,10.4,1,54,8.0,2,1,7.75,0.0,0.5,0,0,5
NY GiantsNYG,17,401,147,17,8.6,254,281,6.5,4,64,6.3,0,0,12.2,0.28,0.0,0,1,6
NY GiantsNYG,21,433,61,20,3.0,372,399,10.5,4,62,7.0,0,0,14.5,0.41,0.0,0,0,7
NY GiantsNYG,18,303,37,14,2.6,266,316,6.7,7,68,4.5,0,0,9.272727272727273,0.14,0.75,0,1,8
NY GiantsNYG,17,277,97,23,4.2,180,188,6.1,1,55,5.0,2,0,9.75,0.41,0.0,1,0,10
NY GiantsNYG,19,359,163,31,5.3,196,231,12.8,4,53,6.8,4,0,7.5,0.44,0.0,1,1,11
NY GiantsNYG,18,402,126,18,7.0,276,297,8.0,2,57,7.1,0,0,8.272727272727273,0.41,0.0,0,0,12
NY GiantsNYG,18,338,141,29,4.9,197,219,6.1,3,68,5.0,2,0,8.916666666666666,0.35,1.0,1,1,13
NY GiantsNYG,19,402,227,34,6.7,175,197,7.3,2,63,6.4,3,0,9.0,0.3,0.0,1,0,14
NY GiantsNYG,15,260,47,16,2.9,213,229,5.2,3,63,4.1,0,1,5.8,0.18,0.66,0,1,15
NY GiantsNYG,22,392,83,29,2.9,309,309,9.4,0,62,6.3,1,0,4.0,0.58,0.0,0,0,16
NY GiantsNYG,20,441,143,25,5.7,298,301,7.3,1,67,6.6,0,1,7.090909090909091,0.46,0.66,0,1,17
NY GiantsNYG,25,470,151,17,8.9,319,323,6.7,1,66,7.1,0,2,8.75,0.18,0.33,0,0,1
NY GiantsNYG,21,370,129,20,6.5,241,250,5.6,1,66,5.6,0,0,5.714285714285714,0.25,0.5,0,1,2
NY GiantsNYG,17,384,72,19,3.8,312,336,9.3,5,60,6.4,1,2,9.833333333333334,0.46,1.0,1,0,3
NY GiantsNYG,24,389,164,37,4.4,225,225,7.3,0,68,5.7,4,2,9.0,0.61,1.0,1,1,4
NY GiantsNYG,18,211,64,20,3.2,147,182,4.8,4,62,3.4,0,0,9.0,0.5,0.0,0,1,5
NY GiantsNYG,10,213,52,16,3.2,161,161,5.2,1,48,4.4,1,1,8.0,0.2,0.0,0,0,6
NY GiantsNYG,21,263,107,22,4.9,156,223,6.4,8,65,4.0,0,2,12.5,0.33,0.33,0,1,7
NY GiantsNYG,24,370,80,24,3.3,290,322,7.9,3,68,5.4,1,1,8.8,0.58,0.0,0,0,8
NY GiantsNYG,20,271,100,22,4.5,171,210,5.1,5,68,4.0,1,2,8.875,0.31,1.0,0,1,9
NY GiantsNYG,15,281,23,17,1.4,258,308,7.7,6,63,4.5,0,2,10.333333333333334,0.44,0.5,0,0,10
NY GiantsNYG,14,243,109,21,5.2,134,150,4.2,1,58,4.2,2,1,5.833333333333333,0.08,0.5,0,0,12
NY GiantsNYG,20,335,95,27,3.5,240,240,6.5,0,64,5.2,0,0,7.75,0.35,0.75,0,1,13
NY GiantsNYG,11,255,73,20,3.6,182,203,6.8,2,52,4.9,0,0,7.714285714285714,0.16,0.0,0,0,14
NY GiantsNYG,24,412,138,33,4.2,274,284,9.8,1,63,6.5,0,0,8.0,0.45,0.0,1,1,15
NY GiantsNYG,28,552,206,26,7.9,346,352,8.4,1,69,8.0,0,0,8.25,0.57,0.0,1,0,16
NY GiantsNYG,19,397,122,21,5.8,275,301,6.4,4,72,5.5,0,1,12.0,0.31,0.5,0,1,17
