,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
NY JetsNYJ,11,214,38,15,2.5,176,187,4.8,1,55,3.9,1,0,12.4,0.28,1.0,0,0,1
NY JetsNYJ,17,271,126,25,5.0,145,166,6.9,4,53,5.1,0,2,9.4,0.58,0.0,0,0,2
NY JetsNYJ,16,336,103,34,3.0,233,249,10.8,2,59,5.7,2,1,9.4,0.3,0.0,1,1,3
NY JetsNYJ,18,471,256,32,8.0,215,255,8.0,5,69,6.8,1,1,7.0,0.35,1.0,1,1,4
NY JetsNYJ,14,212,34,18,1.9,178,194,6.5,3,51,4.2,2,0,8.88888888888889,0.33,0.0,1,0,5
NY JetsNYJ,23,408,74,24,3.1,334,354,7.5,4,75,5.4,1,1,11.5,0.52,0.33,0,1,6
NY JetsNYJ,16,272,92,22,4.2,180,209,7.7,3,52,5.2,2,1,10.333333333333334,0.36,0.0,0,0,7
NY JetsNYJ,15,279,43,22,2.0,236,257,7.8,3,58,4.8,0,1,8.333333333333334,0.33,1.0,0,1,8
NY JetsNYJ,21,331,194,41,4.7,137,140,7.0,1,62,5.3,0,0,6.6,0.42,0.0,1,1,9
NY JetsNYJ,15,275,56,19,2.9,219,262,6.7,6,64,4.3,1,1,9.625,0.2,0.5,0,0,10
NY JetsNYJ,21,391,109,26,4.2,282,307,8.5,3,65,6.0,0,1,9.714285714285714,0.35,0.0,0,1,12
NY JetsNYJ,30,488,157,49,3.2,331,331,9.2,0,85,5.7,0,0,8.0,0.65,1.0,1,1,13
NY JetsNYJ,6,100,59,23,2.6,41,60,2.9,4,48,2.1,0,1,5.0,0.23,0.0,0,0,14
NY JetsNYJ,19,294,124,28,4.4,170,179,4.6,1,68,4.3,1,0,6.25,0.33,0.0,0,0,15
NY JetsNYJ,13,295,197,30,6.6,98,119,4.2,3,61,4.8,0,2,6.8,0.21,0.0,0,1,16
NY JetsNYJ,14,247,40,19,2.1,207,232,6.4,4,59,4.2,0,0,9.333333333333334,0.0,1.0,0,0,17
NY JetsNYJ,18,349,169,36,4.7,180,198,9.4,2,59,5.9,5,1,7.0,0.42,0.66,1,0,1
NY JetsNYJ,21,362,42,19,2.2,320,334,8.1,3,63,5.7,0,1,7.142857142857143,0.3,0.0,0,1,2
NY JetsNYJ,14,268,107,30,3.6,161,169,5.5,2,63,4.3,0,1,9.166666666666666,0.4,1.0,0,0,3
NY JetsNYJ,10,178,34,14,2.4,144,167,4.9,3,51,3.5,1,0,7.166666666666667,0.23,0.0,0,0,4
NY JetsNYJ,18,512,323,38,8.5,189,198,9.0,1,61,8.4,1,1,8.25,0.46,0.0,1,1,5
NY JetsNYJ,18,374,107,36,3.0,267,280,9.3,2,68,5.5,3,1,7.0,0.4,0.0,1,1,6
NY JetsNYJ,16,263,71,24,3.0,192,206,4.9,3,69,3.8,0,1,8.875,0.15,0.5,0,1,7
NY JetsNYJ,12,207,57,24,2.4,150,153,5.3,1,54,3.8,0,0,5.625,0.21,1.0,0,0,8
NY JetsNYJ,15,282,80,21,3.8,202,229,5.9,4,64,4.4,0,0,9.0,0.15,0.0,0,0,9
NY JetsNYJ,12,199,83,18,4.6,116,135,4.0,3,55,3.6,0,0,10.0,0.08,0.66,0,1,10
NY JetsNYJ,18,338,74,15,4.9,264,276,6.1,2,62,5.5,0,0,5.875,0.42,0.0,0,1,12
NY JetsNYJ,15,280,156,33,4.7,124,128,4.3,2,65,4.3,1,0,8.727272727272727,0.21,0.0,0,0,13
NY JetsNYJ,15,248,78,28,2.8,170,170,6.8,0,53,4.7,2,1,13.285714285714286,0.46,1.0,1,0,14
NY JetsNYJ,21,318,90,31,2.9,228,253,6.7,3,72,4.4,0,1,6.666666666666667,0.52,0.33,0,1,15
NY JetsNYJ,23,370,47,20,2.4,323,341,9.7,2,57,6.5,0,0,10.75,0.27,1.0,0,1,16
NY JetsNYJ,12,239,104,23,4.5,135,167,6.0,4,55,4.3,0,3,7.5,0.3,0.0,0,0,17
NY JetsNYJ,17,223,68,21,3.2,155,175,4.3,4,66,3.4,2,1,8.375,0.41,0.5,0,1,1
NY JetsNYJ,13,262,93,24,3.9,169,201,6.5,4,59,4.4,1,1,7.416666666666667,0.14,0.0,0,1,2
NY JetsNYJ,6,105,36,20,1.8,69,98,4.5,5,47,2.2,1,0,13.4,0.0,0.0,0,0,3
NY JetsNYJ,9,128,67,19,3.5,61,120,4.6,10,55,2.3,0,1,5.777777777777778,0.21,0.0,0,0,5
NY JetsNYJ,20,382,56,20,2.8,326,338,10.6,2,54,7.1,0,0,13.125,0.2,0.0,1,1,6
NY JetsNYJ,12,154,81,20,4.0,73,86,2.7,1,53,2.9,1,2,7.5,0.18,0.0,0,1,7
NY JetsNYJ,15,213,46,14,3.3,167,218,7.3,8,52,4.1,0,0,8.3,0.22,0.5,0,0,8
NY JetsNYJ,17,321,83,21,4.0,238,260,6.7,3,63,5.1,0,0,10.5,0.35,1.0,0,0,9
NY JetsNYJ,18,294,76,29,2.6,218,230,7.7,2,61,4.8,0,0,7.714285714285714,0.3,1.0,1,1,10
NY JetsNYJ,23,400,115,33,3.5,285,293,9.5,2,66,6.1,1,1,9.166666666666666,0.41,1.0,1,0,11
NY JetsNYJ,21,401,88,30,2.9,313,315,10.9,1,60,6.7,1,1,9.25,0.41,0.0,1,1,12
NY JetsNYJ,15,271,62,17,3.6,209,239,5.0,4,69,3.9,0,0,10.6,0.41,0.0,0,0,13
NY JetsNYJ,22,374,112,32,3.5,262,270,7.5,1,69,5.4,1,0,17.6,0.42,0.0,1,1,14
NY JetsNYJ,13,310,103,24,4.3,207,218,6.8,1,57,5.4,0,1,11.75,0.42,0.0,0,0,15
