,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
New EnglandNE,25,371,124,35,3.5,247,267,7.4,3,74,5.0,0,0,9.166666666666666,0.33,0.0,0,1,1
New EnglandNE,29,555,119,31,3.8,436,447,11.5,2,72,7.7,0,0,7.333333333333333,0.5,0.0,1,0,2
New EnglandNE,21,396,59,20,3.0,337,378,10.8,5,60,6.6,2,1,13.8,0.46,0.0,1,1,3
New EnglandNE,24,373,80,19,4.2,293,307,6.8,3,67,5.6,1,0,7.857142857142857,0.5,1.0,0,1,4
New EnglandNE,23,402,113,23,4.9,289,303,7.6,3,66,6.1,0,1,9.0,0.33,0.0,1,0,5
New EnglandNE,23,375,118,25,4.7,257,257,6.8,0,63,6.0,2,1,7.5,0.53,0.0,1,0,6
New EnglandNE,25,403,162,36,4.5,241,249,8.6,2,67,6.0,0,0,8.125,0.53,0.0,1,1,7
New EnglandNE,27,414,97,32,3.0,317,333,7.1,3,82,5.0,1,0,13.333333333333334,0.47,1.0,1,1,8
New EnglandNE,28,396,99,29,3.4,297,303,8.2,1,67,5.9,1,0,5.0,0.36,0.33,1,0,10
New EnglandNE,25,421,89,20,4.5,332,340,9.2,1,58,7.3,1,0,5.0,0.5,0.0,1,0,11
New EnglandNE,25,417,196,38,5.2,221,227,8.1,1,67,6.2,2,1,10.0,0.41,0.5,1,1,12
New EnglandNE,23,435,191,35,5.5,244,258,8.6,3,68,6.4,1,0,7.333333333333333,0.41,0.0,1,0,13
New EnglandNE,14,248,25,10,2.5,223,233,5.4,2,55,4.5,0,0,8.666666666666666,0.0,0.0,0,0,14
New EnglandNE,21,360,77,19,4.1,283,298,8.5,2,56,6.4,1,0,2.0,0.33,1.0,1,0,15
New EnglandNE,28,411,193,38,5.1,218,224,8.0,2,68,6.0,0,0,5.0,0.45,1.0,1,1,16
New EnglandNE,28,330,147,38,3.9,183,195,4.9,2,80,4.1,0,0,12.25,0.26,1.0,1,1,17
New EnglandNE,23,389,122,31,3.9,267,277,7.1,2,72,5.4,1,2,6.0,0.28,1.0,1,1,1
New EnglandNE,18,302,82,24,3.4,220,234,6.7,2,61,5.0,1,1,12.5,0.33,0.0,0,0,2
New EnglandNE,12,209,89,19,4.7,120,133,5.1,2,47,4.4,1,0,7.6,0.22,0.0,0,0,3
New EnglandNE,26,449,175,40,4.4,274,274,7.8,0,75,6.0,1,0,9.5,0.66,0.0,1,1,4
New EnglandNE,26,438,97,23,4.2,341,341,7.8,0,67,6.5,2,0,7.142857142857143,0.5,0.0,1,1,5
New EnglandNE,31,500,173,38,4.6,327,340,9.7,2,75,6.7,2,1,0.0,0.53,0.0,1,1,6
New EnglandNE,21,381,108,27,4.0,273,277,7.7,1,64,6.0,2,2,9.142857142857142,0.46,1.0,1,0,7
New EnglandNE,22,387,76,25,3.0,311,324,7.2,2,72,5.4,1,0,6.6,0.35,0.0,1,0,8
New EnglandNE,28,433,123,31,4.0,310,331,9.2,2,69,6.3,0,0,6.0,0.36,0.0,1,1,9
New EnglandNE,16,284,40,19,2.1,244,267,6.2,3,65,4.4,0,0,7.75,0.2,0.66,0,0,10
New EnglandNE,25,498,215,36,6.0,283,283,9.1,0,67,7.4,1,0,9.545454545454545,0.41,1.0,1,0,12
New EnglandNE,27,471,160,39,4.1,311,311,9.7,0,71,6.6,2,0,8.571428571428571,0.5,1.0,1,1,13
New EnglandNE,28,421,77,30,2.6,344,358,8.3,2,75,5.6,0,0,6.0,0.56,0.0,0,0,14
New EnglandNE,18,368,96,19,5.1,272,279,7.8,1,56,6.6,2,0,7.571428571428571,0.3,0.0,0,0,15
New EnglandNE,20,390,273,47,5.8,117,126,5.0,1,73,5.3,2,1,9.8,0.25,0.5,1,1,16
New EnglandNE,24,375,131,30,4.4,244,250,7.6,1,64,5.9,0,0,7.5,0.45,0.0,1,1,17
New EnglandNE,24,465,99,29,3.4,366,373,10.1,1,67,6.9,1,0,7.857142857142857,0.5,0.0,1,1,1
New EnglandNE,27,379,124,35,3.5,255,264,9.4,2,65,5.8,4,1,10.8,0.54,0.0,1,0,2
New EnglandNE,21,381,68,27,2.5,313,320,7.1,1,73,5.2,1,1,8.75,0.4,0.0,1,1,3
New EnglandNE,11,224,74,23,3.2,150,150,3.8,0,62,3.6,4,0,7.25,0.27,0.0,1,0,4
New EnglandNE,23,442,130,27,4.8,312,348,8.1,4,74,6.0,1,0,7.857142857142857,0.33,0.0,1,0,5
New EnglandNE,27,427,114,34,3.4,313,334,8.1,3,78,5.5,3,1,6.666666666666667,0.46,0.0,1,1,6
New EnglandNE,22,323,74,34,2.2,249,249,5.5,0,79,4.1,4,0,13.142857142857142,0.43,1.0,1,0,7
New EnglandNE,19,318,79,27,2.9,239,259,7.2,3,66,4.8,1,0,8.0,0.31,1.0,1,1,8
New EnglandNE,22,342,74,17,4.4,268,285,6.2,2,65,5.3,0,1,6.857142857142857,0.38,0.0,0,0,9
New EnglandNE,19,298,74,22,3.4,224,231,4.8,1,71,4.2,0,0,14.833333333333334,0.31,0.0,1,0,11
New EnglandNE,17,282,101,27,3.7,181,190,5.1,2,66,4.3,1,0,9.333333333333334,0.21,0.0,1,1,12
New EnglandNE,29,448,145,29,5.0,303,326,6.9,3,79,5.7,0,0,7.5,0.52,0.5,0,0,13
New EnglandNE,17,278,94,22,4.3,184,204,5.5,3,62,4.5,1,0,5.0,0.16,0.33,0,1,14
New EnglandNE,19,291,175,32,5.5,116,128,4.4,2,63,4.6,4,0,7.5,0.42,0.0,1,0,15
New EnglandNE,23,414,143,35,4.1,271,271,8.2,0,68,6.1,0,1,10.0,0.5,0.5,1,1,16
New EnglandNE,18,352,135,27,5.0,217,221,7.6,1,57,6.2,0,1,9.0,0.33,0.0,0,1,17
