,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
OaklandOak,22,359,109,29,3.8,250,262,8.2,2,63,5.7,0,0,9.8,0.41,1.0,1,0,1
OaklandOak,21,410,180,27,6.7,230,230,8.2,0,55,7.5,0,0,8.777777777777779,0.66,0.0,1,1,2
OaklandOak,7,128,32,13,2.5,96,118,3.8,4,48,2.7,0,1,8.75,0.0,0.5,0,0,3
OaklandOak,11,254,24,15,1.6,230,249,7.1,3,53,4.8,0,0,10.714285714285714,0.16,0.0,0,0,4
OaklandOak,15,245,108,25,4.3,137,159,6.1,3,54,4.5,0,1,8.0,0.5,0.0,0,1,5
OaklandOak,15,274,109,22,5.0,165,171,5.7,1,53,5.2,0,0,8.0,0.5,0.0,0,1,6
OaklandOak,32,505,88,21,4.2,417,417,8.0,0,73,6.9,0,0,9.7,0.46,1.0,1,1,7
OaklandOak,23,367,54,14,3.9,313,313,6.4,0,63,5.8,0,2,8.333333333333334,0.3,0.5,0,0,8
OaklandOak,20,379,84,27,3.1,295,300,10.0,1,58,6.5,0,1,10.5,0.53,0.0,1,0,9
OaklandOak,21,344,109,21,5.2,235,237,4.8,1,71,4.8,0,1,8.25,0.46,0.5,0,1,11
OaklandOak,21,348,104,37,2.8,244,253,10.5,2,63,5.5,1,1,9.714285714285714,0.38,0.0,1,1,12
OaklandOak,18,401,119,29,4.1,282,287,8.0,1,66,6.1,0,1,7.0,0.4,0.33,1,1,13
OaklandOak,15,268,70,11,6.4,198,211,5.1,3,55,4.9,1,1,5.571428571428571,0.38,1.0,0,0,14
OaklandOak,19,293,122,23,5.3,171,171,4.5,0,61,4.8,2,1,7.5,0.53,0.0,0,1,15
OaklandOak,13,274,137,33,4.2,137,140,4.8,1,63,4.3,1,3,7.142857142857143,0.23,0.0,0,0,16
OaklandOak,14,336,105,23,4.6,231,243,8.7,2,53,6.3,0,1,14.166666666666666,0.36,0.0,0,0,17
OaklandOak,20,395,95,23,4.1,300,303,7.6,1,64,6.2,0,0,14.090909090909092,0.45,0.0,0,1,1
OaklandOak,21,373,92,27,3.4,281,288,9.0,1,60,6.2,1,0,7.5,0.3,0.0,0,0,2
OaklandOak,25,434,109,32,3.4,325,345,8.8,3,74,5.9,0,0,4.75,0.53,0.0,0,0,3
OaklandOak,27,565,139,29,4.8,426,437,7.5,3,90,6.3,2,0,10.833333333333334,0.31,0.0,1,1,4
OaklandOak,14,289,41,13,3.2,248,268,8.1,3,49,5.9,0,1,7.857142857142857,0.36,1.0,0,0,5
OaklandOak,15,185,79,19,4.2,106,142,4.6,6,56,3.3,1,2,7.6,0.33,0.0,0,1,6
OaklandOak,19,347,103,19,5.4,244,244,8.7,0,47,7.4,0,1,7.9,0.5,0.5,0,1,8
OaklandOak,14,242,102,23,4.4,140,179,7.5,8,55,4.4,0,0,6.666666666666667,0.25,0.0,0,0,9
OaklandOak,16,317,114,22,5.2,203,243,6.6,4,63,5.0,1,1,9.166666666666666,0.33,0.33,0,1,10
OaklandOak,19,325,152,33,4.6,173,192,6.2,4,68,4.8,2,0,5.0,0.33,0.0,1,0,11
OaklandOak,13,249,67,19,3.5,182,194,5.7,3,56,4.4,2,1,6.0,0.23,0.5,0,0,12
OaklandOak,28,442,171,28,6.1,271,285,7.5,3,69,6.4,0,3,9.25,0.75,0.0,0,1,13
OaklandOak,20,354,55,25,2.2,299,322,9.5,4,63,5.6,1,1,10.0,0.33,1.0,1,1,14
OaklandOak,13,297,68,16,4.2,229,263,6.9,5,59,5.0,1,2,11.25,0.21,0.0,0,0,15
OaklandOak,16,273,114,30,3.8,159,167,6.4,1,57,4.8,2,0,8.333333333333334,0.38,0.0,1,1,16
OaklandOak,20,292,127,29,4.4,165,185,5.6,3,65,4.5,1,2,5.5,0.4,1.0,0,0,17
OaklandOak,19,357,98,28,3.5,259,259,10.0,0,54,6.6,0,0,6.888888888888889,0.71,0.0,1,1,1
OaklandOak,19,307,129,19,6.8,178,198,5.2,3,60,5.1,0,0,7.428571428571429,0.42,1.0,0,1,2
OaklandOak,17,302,88,20,4.4,214,242,7.1,4,58,5.2,0,0,12.0,0.27,0.66,0,0,3
OaklandOak,21,377,188,32,5.9,189,189,6.1,1,64,5.9,1,1,7.2727272727272725,0.41,1.0,1,0,4
OaklandOak,25,398,169,39,4.3,229,229,7.2,0,71,5.6,2,2,11.5,0.5,1.0,1,1,5
