,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
PhiladelphiaPhi,19,356,58,24,2.4,298,307,7.9,2,65,5.5,1,1,9.5,0.57,0.0,1,0,1
PhiladelphiaPhi,27,406,107,17,6.3,299,333,7.2,6,69,5.9,0,1,7.5,0.53,0.0,0,0,2
PhiladelphiaPhi,24,354,193,39,4.9,161,176,5.7,3,73,4.8,2,1,11.444444444444445,0.35,0.66,1,1,3
PhiladelphiaPhi,26,454,214,42,5.1,240,242,7.8,1,74,6.1,0,0,6.444444444444445,0.56,1.0,1,0,4
PhiladelphiaPhi,19,419,122,33,3.7,297,304,10.1,1,64,6.5,0,0,12.0,0.64,0.0,1,1,5
PhiladelphiaPhi,15,310,101,27,3.7,209,222,7.4,3,60,5.2,3,1,12.6,0.35,1.0,1,0,6
PhiladelphiaPhi,23,371,127,33,3.8,244,268,10.7,3,61,6.1,1,0,6.111111111111111,0.5,0.0,1,1,7
PhiladelphiaPhi,19,304,112,31,3.6,192,211,6.6,3,66,4.6,2,0,8.75,0.28,1.0,1,1,8
PhiladelphiaPhi,25,419,197,37,5.3,222,234,8.4,2,67,6.3,2,1,7.0,0.38,0.5,1,1,9
PhiladelphiaPhi,17,383,215,33,6.5,168,168,6.2,0,60,6.4,3,0,10.0,0.35,1.0,1,0,11
PhiladelphiaPhi,24,420,176,33,5.3,244,248,6.4,1,73,5.8,2,3,6.363636363636363,0.43,0.75,1,1,12
PhiladelphiaPhi,25,425,98,26,3.8,327,348,7.7,3,74,5.7,0,1,9.142857142857142,0.5,0.5,0,0,13
PhiladelphiaPhi,29,455,139,32,4.3,316,333,6.5,2,85,5.4,0,0,6.7,0.4,1.0,1,0,14
PhiladelphiaPhi,22,341,108,27,4.0,233,237,6.2,1,66,5.2,1,0,6.285714285714286,0.46,0.0,1,0,15
PhiladelphiaPhi,12,216,78,21,3.7,138,163,4.3,2,61,3.5,2,1,7.5,0.07,1.0,1,1,16
PhiladelphiaPhi,12,219,70,18,3.9,149,173,5.1,3,55,4.0,0,1,7.0,0.18,0.0,0,1,17
PhiladelphiaPhi,18,232,113,27,4.2,119,132,3.8,2,64,3.6,1,1,9.181818181818182,0.5,0.0,1,1,1
PhiladelphiaPhi,24,412,91,24,3.8,321,334,7.0,3,75,5.5,1,2,9.166666666666666,0.33,0.6,0,0,2
PhiladelphiaPhi,26,379,152,35,4.3,227,255,6.9,5,77,4.9,0,1,11.0,0.42,0.0,1,1,3
PhiladelphiaPhi,25,432,117,22,5.3,315,348,7.0,4,76,5.7,1,1,9.625,0.33,0.0,0,0,4
PhiladelphiaPhi,21,364,81,17,4.8,283,311,8.9,3,55,6.6,0,2,6.5,0.22,1.0,0,1,5
PhiladelphiaPhi,23,379,108,31,3.5,271,278,7.7,1,68,5.6,1,0,6.25,0.56,0.0,1,0,6
PhiladelphiaPhi,21,342,58,24,2.4,284,310,8.4,4,65,5.3,0,1,8.75,0.25,0.75,0,1,7
PhiladelphiaPhi,22,395,133,28,4.8,262,286,9.5,4,62,6.4,0,1,9.0,0.58,0.0,1,0,8
PhiladelphiaPhi,23,421,71,16,4.4,350,360,8.2,2,62,6.8,0,0,0.0,0.4,0.0,0,1,10
PhiladelphiaPhi,13,196,58,12,4.8,138,156,4.7,3,48,4.1,0,0,8.166666666666666,0.3,0.0,0,0,11
PhiladelphiaPhi,19,341,127,29,4.4,214,236,8.4,3,60,5.7,1,0,6.571428571428571,0.27,1.0,1,1,12
PhiladelphiaPhi,28,436,130,33,3.9,306,306,7.8,0,72,6.1,1,0,7.6,0.53,0.0,1,1,13
PhiladelphiaPhi,16,256,34,14,2.4,222,228,7.1,2,48,5.3,2,1,9.8,0.11,1.0,0,0,14
PhiladelphiaPhi,17,381,111,30,3.7,270,270,8.7,0,61,6.2,1,0,8.166666666666666,0.3,0.0,1,0,15
PhiladelphiaPhi,25,519,57,22,2.6,462,471,9.4,1,73,7.1,0,2,9.545454545454545,0.56,1.0,1,1,16
PhiladelphiaPhi,25,360,129,34,3.8,231,243,7.1,3,71,5.1,1,0,5.0,0.57,1.0,1,0,17
PhiladelphiaPhi,22,436,123,31,4.0,313,313,8.0,1,71,6.1,0,0,9.166666666666666,0.64,0.5,1,1,1
PhiladelphiaPhi,18,286,49,21,2.3,237,255,5.3,3,72,4.0,3,1,8.571428571428571,0.5,0.66,0,0,2
PhiladelphiaPhi,22,373,127,30,4.2,246,259,7.2,3,69,5.4,0,2,7.5,0.53,0.0,0,1,3
PhiladelphiaPhi,24,336,176,33,5.3,160,160,5.9,0,60,5.6,1,0,10.333333333333334,0.55,0.0,1,0,4
PhiladelphiaPhi,17,265,84,29,2.9,181,189,6.5,1,59,4.5,2,1,8.444444444444445,0.38,0.0,1,1,5
PhiladelphiaPhi,19,400,108,22,4.9,292,306,7.5,2,65,6.2,1,1,7.0,0.33,0.33,0,0,6
PhiladelphiaPhi,16,283,115,28,4.1,168,191,7.3,3,57,5.0,1,3,8.0,0.33,0.5,0,0,7
PhiladelphiaPhi,21,371,218,41,5.3,153,172,7.2,3,68,5.5,0,1,11.0,0.53,0.0,1,0,8
PhiladelphiaPhi,26,373,146,35,4.2,227,239,6.1,4,78,4.8,0,0,9.375,0.44,1.0,1,1,9
PhiladelphiaPhi,21,255,81,21,3.9,174,214,5.3,5,66,3.9,0,1,5.571428571428571,0.23,0.0,0,1,11
PhiladelphiaPhi,23,344,106,23,4.6,238,256,5.7,3,71,4.8,1,3,7.5,0.33,0.0,0,1,12
PhiladelphiaPhi,23,386,92,19,4.8,294,310,6.7,2,67,5.8,1,0,9.1,0.5,0.0,0,0,13
