,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
PittsburghPit,16,290,35,17,2.1,255,263,7.3,1,54,5.4,1,0,11.0,0.38,0.0,1.0,0,1
PittsburghPit,22,335,102,32,3.2,233,243,6.9,2,69,4.9,0,0,7.2,0.23,0.0,1.0,1,2
PittsburghPit,19,282,70,17,4.1,212,235,6.0,3,59,4.8,1,2,6.666666666666667,0.36,0.0,0.0,0,3
PittsburghPit,22,381,173,42,4.1,208,216,7.2,1,73,5.2,2,0,7.5,0.46,0.0,1.0,0,4
PittsburghPit,21,371,70,20,3.5,301,312,5.7,2,77,4.8,1,0,7.4,0.46,0.0,0.0,1,5
PittsburghPit,23,439,194,37,5.2,245,252,10.1,1,63,7.0,0,0,9.5,0.36,0.0,1.0,0,6
PittsburghPit,21,420,152,43,3.5,268,268,10.7,0,68,6.2,2,0,5.0,0.18,0.33,1.0,1,7
PittsburghPit,17,392,75,29,2.6,317,317,10.2,0,60,6.5,0,1,7.4,0.5,0.0,1.0,0,8
PittsburghPit,18,316,88,30,2.9,228,236,7.6,1,62,5.1,1,0,7.777777777777778,0.38,0.0,1.0,0,10
PittsburghPit,25,349,65,21,3.1,284,299,6.6,3,69,5.1,4,0,8.714285714285714,0.33,0.0,1.0,1,11
PittsburghPit,28,462,121,24,5.0,341,351,7.8,1,70,6.6,0,1,9.0,0.61,1.0,1.0,1,12
PittsburghPit,24,374,92,22,4.2,282,290,7.2,1,63,5.9,0,0,9.428571428571429,0.33,1.0,1.0,0,13
PittsburghPit,31,545,59,16,3.7,486,506,7.7,3,85,6.4,1,0,16.833333333333332,0.66,0.0,1.0,1,14
PittsburghPit,21,413,143,31,4.6,270,281,9.4,2,63,6.6,1,0,10.5,0.62,0.0,0.0,1,15
PittsburghPit,20,330,104,28,3.7,226,226,7.5,0,58,5.7,1,0,6.0,0.58,0.0,1.0,0,16
PittsburghPit,20,348,124,28,4.4,224,239,8.9,3,58,6.0,1,1,5.0,0.3,0.0,1.0,1,17
PittsburghPit,25,472,159,35,4.5,313,335,8.2,4,80,5.9,1,3,9.666666666666666,0.46,0.0,0.5,0,1
PittsburghPit,33,475,33,13,2.5,442,452,7.5,1,74,6.4,0,0,7.5,0.27,1.0,0.0,1,2
PittsburghPit,22,413,78,22,3.5,335,353,9.3,3,63,6.6,3,0,11.923076923076923,0.27,0.0,1.0,0,3
PittsburghPit,14,284,19,11,1.7,265,274,5.8,1,59,4.8,0,1,8.0,0.16,0.0,0.0,1,4
PittsburghPit,22,381,131,29,4.5,250,250,8.6,0,58,6.6,0,0,8.285714285714286,0.75,0.0,1.0,1,5
PittsburghPit,26,481,112,21,5.3,369,369,8.0,0,67,7.2,0,0,7.666666666666667,0.57,0.0,1.0,0,6
PittsburghPit,25,421,168,31,5.4,253,257,7.1,1,68,6.2,1,1,7.5,0.46,1.0,1.0,1,8
PittsburghPit,27,395,113,27,4.2,282,292,6.1,1,76,5.2,0,0,12.875,0.62,1.0,1.0,0,9
PittsburghPit,25,457,138,30,4.6,319,325,12.0,1,58,7.9,1,0,24.0,0.72,0.0,1.0,1,10
PittsburghPit,19,323,26,11,2.4,297,314,6.7,2,60,5.4,0,0,5.0,0.27,0.0,1.0,0,11
PittsburghPit,25,527,75,16,4.7,452,464,8.0,2,76,6.9,0,2,6.8,0.35,1.0,0.0,0,12
PittsburghPit,23,336,65,17,3.8,271,281,6.2,1,63,5.3,0,0,8.428571428571429,0.3,1.0,0.0,1,13
PittsburghPit,24,340,40,19,2.1,300,306,8.1,1,58,5.9,0,0,7.0,0.54,0.0,0.0,0,14
PittsburghPit,24,376,158,25,6.3,218,235,6.9,2,61,6.2,1,0,10.0,0.44,0.0,1.0,1,15
