,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
San FranciscoSF,13,217,51,15,3.4,166,193,5.5,4,54,4.0,1,1,7.4,0.18,0.25,0,1,1
San FranciscoSF,11,248,159,19,8.4,89,99,3.7,2,48,5.2,0,0,11.0,0.16,0.0,0,0,2
San FranciscoSF,25,421,113,33,3.4,308,332,9.0,4,74,5.7,0,1,5.5,0.5,0.66,0,1,3
San FranciscoSF,20,305,95,27,3.5,210,234,4.8,3,79,3.9,1,0,8.692307692307692,0.26,1.0,0,0,4
San FranciscoSF,23,402,66,22,3.0,336,353,7.7,2,70,5.7,1,0,7.7,0.28,1.0,0,0,5
San FranciscoSF,21,335,85,20,4.2,250,279,5.9,3,70,4.8,1,0,5.714285714285714,0.35,0.5,0,0,6
San FranciscoSF,23,290,103,22,4.7,187,235,6.2,5,65,4.5,0,3,11.0,0.46,0.0,0,1,7
San FranciscoSF,14,238,94,24,3.9,144,167,4.6,4,64,3.7,1,0,11.5,0.2,0.0,0,0,8
San FranciscoSF,17,329,63,17,3.7,266,294,5.8,5,73,4.5,1,1,6.625,0.35,0.0,0,1,9
San FranciscoSF,21,474,186,33,5.6,288,288,11.5,0,58,8.2,0,1,7.333333333333333,0.66,0.0,1,1,10
San FranciscoSF,16,280,84,24,3.5,196,219,5.5,3,67,4.2,1,0,10.571428571428571,0.31,1.0,0,1,12
San FranciscoSF,23,388,110,34,3.2,278,293,7.9,2,73,5.3,0,0,6.625,0.55,0.0,1,0,13
San FranciscoSF,20,416,102,31,3.3,314,334,10.1,2,66,6.3,0,0,7.909090909090909,0.18,0.0,1,0,14
San FranciscoSF,23,414,51,22,2.3,363,381,8.9,3,68,6.1,0,0,10.0,0.5,0.0,1,1,15
San FranciscoSF,26,369,131,35,3.7,238,242,8.1,1,66,5.6,3,0,8.5,0.66,0.0,1,1,16
San FranciscoSF,25,461,169,30,5.6,292,292,8.8,0,63,7.3,0,1,5.75,0.5,0.0,1,0,17
San FranciscoSF,20,327,90,25,3.6,237,261,7.9,3,61,5.4,0,1,7.0,0.38,0.0,0,0,1
San FranciscoSF,23,346,190,28,6.8,156,206,7.9,6,60,5.8,0,0,9.555555555555555,0.27,0.0,1,1,2
San FranciscoSF,26,406,178,29,6.1,228,251,8.4,4,63,6.4,0,0,10.5,0.22,1.0,0,0,3
San FranciscoSF,22,364,76,21,3.6,288,298,8.1,1,59,6.2,1,0,7.25,0.41,0.0,0,0,4
San FranciscoSF,33,447,147,34,4.3,300,349,6.5,4,92,4.9,0,3,7.222222222222222,0.58,0.5,0,1,5
San FranciscoSF,18,401,174,30,5.8,227,245,10.7,2,55,7.3,0,2,5.0,0.22,0.0,0,0,6
San FranciscoSF,16,228,107,24,4.5,121,170,6.3,7,58,3.9,0,2,5.0,0.27,0.0,0,1,7
San FranciscoSF,16,267,107,31,3.5,160,190,6.8,4,63,4.2,1,0,11.8,0.35,0.0,0,0,8
San FranciscoSF,18,405,143,32,4.5,262,262,11.9,0,54,7.5,0,0,7.666666666666667,0.41,0.0,1,1,9
San FranciscoSF,24,374,124,29,4.3,250,250,6.4,0,68,5.5,0,0,9.7,0.61,0.0,0,1,10
San FranciscoSF,23,342,148,24,6.2,194,221,6.9,4,60,5.7,0,0,8.5,0.12,0.0,0,0,12
San FranciscoSF,24,452,66,23,2.9,386,414,8.6,3,74,6.1,0,2,9.846153846153847,0.43,0.5,0,0,13
