,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
SeattleSea,12,225,90,18,5.0,135,158,5.9,3,48,4.7,1,1,6.25,0.25,0.0,0,0,1
SeattleSea,21,312,131,37,3.5,181,198,5.1,3,79,3.9,1,0,7.888888888888889,0.42,1.0,1,1,2
SeattleSea,24,433,69,22,3.1,364,373,7.6,1,72,6.0,0,0,8.909090909090908,0.28,0.5,0,0,3
SeattleSea,22,477,194,33,5.9,283,295,11.3,3,62,7.7,1,0,7.5,0.66,1.0,1,1,4
SeattleSea,15,241,62,25,2.5,179,198,5.2,3,66,3.7,2,0,5.714285714285714,0.47,0.0,1,0,5
SeattleSea,26,425,104,31,3.4,321,334,8.6,1,71,6.0,0,1,7.333333333333333,0.46,0.0,1,0,7
SeattleSea,21,479,33,21,1.6,446,452,11.0,2,64,7.5,3,0,12.0,0.41,0.0,1,1,8
SeattleSea,22,437,148,28,5.3,289,297,6.6,2,75,5.8,0,0,8.625,0.35,0.0,0,1,9
SeattleSea,14,287,75,23,3.3,212,238,7.4,5,60,4.8,0,0,9.0,0.23,0.0,1,0,10
SeattleSea,26,360,136,23,5.9,224,254,5.9,3,69,5.2,0,1,11.777777777777779,0.41,0.5,0,1,11
SeattleSea,20,318,90,30,3.0,228,228,6.7,0,64,5.0,1,0,5.833333333333333,0.38,0.0,1,0,12
SeattleSea,20,310,101,25,4.0,209,227,7.3,2,58,5.3,1,0,9.2,0.5,0.0,1,1,13
SeattleSea,17,401,141,24,5.9,260,271,8.7,2,57,7.0,0,0,12.166666666666666,0.22,0.0,0,0,14
SeattleSea,11,149,78,17,4.6,71,142,4.7,7,54,2.8,1,2,6.666666666666667,0.28,0.0,0,1,15
SeattleSea,15,136,76,30,2.5,60,93,4.4,3,54,2.5,2,0,12.909090909090908,0.36,0.0,1,0,16
SeattleSea,13,296,101,22,4.6,195,221,7.6,3,54,5.5,1,0,12.5,0.08,1.0,0,1,17
SeattleSea,13,306,64,16,4.0,242,298,9.0,6,55,5.6,3,1,6.428571428571429,0.16,0.0,0,0,1
SeattleSea,17,276,74,22,3.4,202,226,6.3,6,64,4.3,2,1,7.4,0.38,0.0,0,0,2
SeattleSea,18,295,113,39,2.9,182,192,7.4,2,67,4.4,2,0,6.7,0.43,0.0,1,1,3
