,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
Tampa BayTB,22,311,117,34,3.4,194,204,6.6,2,67,4.6,2,1,8.5,0.53,0.0,1,1,2
Tampa BayTB,20,342,26,9,2.9,316,328,8.2,2,51,6.7,0,0,5.285714285714286,0.16,0.0,0,0,3
Tampa BayTB,20,434,111,23,4.8,323,332,8.7,1,62,7.0,0,0,4.75,0.27,0.0,1,1,4
Tampa BayTB,26,409,90,20,4.5,319,334,7.3,2,68,6.0,1,0,7.777777777777778,0.3,0.0,0,1,5
Tampa BayTB,21,414,70,20,3.5,344,351,8.4,2,64,6.5,1,0,5.444444444444445,0.5,0.66,0,0,6
Tampa BayTB,27,447,69,25,2.8,378,384,8.7,1,70,6.4,0,2,11.0,0.54,0.0,0,0,7
Tampa BayTB,16,279,85,22,3.9,194,210,5.5,3,63,4.4,1,1,9.166666666666666,0.16,0.0,0,1,8
Tampa BayTB,14,200,87,25,3.5,113,135,4.8,4,57,3.5,0,1,7.142857142857143,0.3,0.0,0,0,9
Tampa BayTB,17,271,90,31,2.9,181,187,5.5,1,66,4.1,1,0,8.333333333333334,0.43,0.0,1,1,10
Tampa BayTB,19,321,53,24,2.2,268,275,7.4,1,62,5.2,3,0,9.11111111111111,0.23,0.0,1,0,11
Tampa BayTB,27,373,94,23,4.1,279,283,6.4,1,68,5.5,0,0,7.5,0.36,0.5,0,0,12
Tampa BayTB,25,395,165,35,4.7,230,270,8.4,7,74,5.3,1,1,9.25,0.56,0.0,0,0,13
Tampa BayTB,28,400,133,28,4.8,267,285,7.5,3,69,5.8,2,3,9.285714285714286,0.5,0.0,0,1,14
Tampa BayTB,22,373,84,18,4.7,289,299,8.5,2,55,6.8,0,1,7.571428571428571,0.5,0.0,0,1,15
Tampa BayTB,20,392,66,24,2.8,326,367,13.6,6,57,6.9,1,3,6.0,0.54,0.0,0,0,16
Tampa BayTB,28,455,110,28,3.9,345,363,7.1,2,81,5.6,0,0,7.5,0.72,1.0,1,1,17
Tampa BayTB,26,529,112,34,3.3,417,417,14.9,0,62,8.5,0,0,10.0,0.61,0.0,1,0,1
Tampa BayTB,18,436,43,23,1.9,393,402,12.2,2,58,7.5,0,1,11.0,0.4,0.0,1,1,2
Tampa BayTB,28,455,63,16,3.9,392,411,8.2,3,69,6.6,1,1,8.88888888888889,0.33,1.0,0,1,3
Tampa BayTB,16,311,60,18,3.3,251,271,7.1,4,60,5.2,0,0,9.0,0.25,1.0,0,0,4
Tampa BayTB,30,510,121,20,6.0,389,395,9.6,2,63,8.1,0,0,5.0,0.62,0.0,0,0,6
Tampa BayTB,34,456,114,32,3.6,342,365,7.0,4,88,5.2,0,2,8.125,0.46,1.0,1,1,7
Tampa BayTB,29,576,126,27,4.7,450,470,9.4,6,83,6.9,0,0,6.818181818181818,0.55,1.0,0,0,8
Tampa BayTB,23,301,82,21,3.9,219,243,5.9,3,65,4.6,0,0,6.125,0.41,0.5,0,0,9
Tampa BayTB,29,501,103,24,4.3,398,406,9.9,2,67,7.5,0,2,10.0,0.6,0.0,0,1,10
Tampa BayTB,31,510,151,30,5.0,359,366,9.9,1,68,7.5,0,0,10.0,0.66,0.5,0,0,11
Tampa BayTB,25,412,108,31,3.5,304,312,8.2,1,70,5.9,2,0,7.777777777777778,0.53,0.0,1,1,12
Tampa BayTB,18,315,95,25,3.8,220,249,8.3,4,59,5.3,4,1,7.666666666666667,0.46,0.0,1,1,13
Tampa BayTB,20,279,105,23,4.6,174,213,5.6,4,65,4.3,1,0,8.4,0.42,0.0,0,1,14
Tampa BayTB,12,241,85,21,4.0,156,157,6.3,1,47,5.1,0,0,9.666666666666666,0.3,0.0,0,0,15
