,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
TennesseeTen,21,350,95,21,4.5,255,256,6.2,1,63,5.6,0,0,9.8,0.5,0.0,0,1,1
TennesseeTen,21,390,179,36,5.0,211,215,8.0,1,64,6.1,2,0,10.0,0.46,0.0,1,0,2
TennesseeTen,21,420,195,35,5.6,225,225,7.0,0,67,6.3,0,0,9.0,0.28,0.0,1,1,3
TennesseeTen,9,195,86,19,4.5,109,117,5.8,2,41,4.8,1,1,14.666666666666666,0.25,0.0,0,0,4
TennesseeTen,14,188,69,20,3.5,119,141,4.4,6,58,3.2,1,2,7.0,0.15,0.0,0,0,5
TennesseeTen,25,473,168,34,4.9,305,306,9.6,1,67,7.1,0,0,11.25,0.46,1.0,1,1,6
TennesseeTen,16,269,80,32,2.5,189,203,6.0,2,68,4.0,3,1,7.0,0.29,0.0,1,0,7
TennesseeTen,14,257,71,21,3.4,186,218,7.8,3,52,4.9,2,0,13.0,0.27,0.0,1,1,9
TennesseeTen,27,416,180,36,5.0,236,264,6.0,4,84,5.0,0,1,11.0,0.46,0.0,1,1,10
TennesseeTen,17,316,52,21,2.5,264,306,9.0,5,60,5.3,0,0,7.222222222222222,0.38,0.5,0,0,11
TennesseeTen,19,276,92,28,3.3,184,184,7.4,0,53,5.2,0,0,7.5,0.37,0.0,1,0,12
TennesseeTen,19,344,198,25,7.9,146,150,6.5,2,50,6.9,1,1,9.0,0.45,1.0,1,1,13
TennesseeTen,14,204,65,22,3.0,139,159,5.1,3,56,3.6,0,0,8.0,0.33,0.0,0,0,14
TennesseeTen,23,328,90,28,3.2,238,241,7.3,1,62,5.3,0,1,7.333333333333333,0.5,1.0,0,0,15
TennesseeTen,19,366,97,26,3.7,269,275,7.1,1,66,5.5,0,0,10.8,0.25,0.0,0,1,16
TennesseeTen,11,232,116,39,3.0,116,134,6.4,3,63,3.7,2,1,7.5,0.18,1.0,1,1,17
TennesseeTen,19,336,116,29,4.0,220,220,5.8,0,67,5.0,2,0,9.6,0.42,0.0,0,0,1
TennesseeTen,15,283,100,34,2.9,183,191,8.7,1,57,5.0,1,0,8.75,0.33,1.0,1,1,2
TennesseeTen,15,233,150,35,4.3,83,108,5.1,3,59,3.9,0,0,7.5,0.33,0.0,1,0,3
TennesseeTen,22,397,70,22,3.2,327,344,8.0,3,68,5.8,0,0,7.5,0.31,1.0,1,1,4
TennesseeTen,15,221,100,25,4.0,121,129,5.0,2,53,4.2,1,2,8.0,0.5,0.0,0,0,5
TennesseeTen,7,106,55,14,3.9,51,117,7.8,11,40,2.6,1,0,8.75,0.1,0.0,0,1,6
TennesseeTen,23,390,164,33,5.0,226,237,7.4,2,67,5.8,0,0,8.0,0.6,1.0,0,0,7
TennesseeTen,24,340,125,36,3.5,215,240,8.3,4,69,4.9,1,2,6.666666666666667,0.78,0.0,1,0,9
TennesseeTen,23,385,150,36,4.2,235,249,10.0,2,63,6.1,0,0,8.75,0.41,0.0,1,1,10
TennesseeTen,16,263,87,25,3.5,176,203,7.0,5,59,4.5,0,0,14.0,0.42,0.0,0,0,11
TennesseeTen,14,365,105,23,4.6,260,303,13.2,6,52,7.0,0,1,7.142857142857143,0.33,0.0,0,0,12
TennesseeTen,22,403,130,22,5.9,273,282,8.1,3,60,6.7,1,0,9.375,0.09,0.0,1,1,13
TennesseeTen,21,426,264,32,8.2,162,162,6.8,1,57,7.5,0,0,10.0,0.63,0.0,1,1,14
TennesseeTen,22,301,215,45,4.8,86,94,4.5,1,67,4.5,1,0,8.75,0.35,1.0,1,0,15
TennesseeTen,20,291,99,27,3.7,192,211,8.4,3,55,5.3,2,0,5.0,0.45,0.0,1,1,16
TennesseeTen,11,258,93,16,5.8,165,165,5.7,0,45,5.7,1,1,8.333333333333334,0.11,0.0,0,1,17
TennesseeTen,21,339,123,28,4.4,216,248,10.3,4,56,6.1,3,0,9.0,0.2,0.0,1,0,1
TennesseeTen,18,243,124,24,5.2,119,154,5.5,4,56,4.3,1,0,15.0,0.1,0.0,0,1,2
TennesseeTen,21,340,91,26,3.5,249,304,7.6,9,75,4.5,0,1,11.222222222222221,0.47,0.0,0,0,3
TennesseeTen,22,365,138,34,4.1,227,227,8.4,0,61,6.0,0,0,15.4,0.46,0.0,1,0,4
TennesseeTen,14,252,102,27,3.8,150,183,8.3,5,54,4.7,1,0,7.5,0.28,0.0,0,1,5
TennesseeTen,12,204,39,21,1.9,165,207,6.1,7,62,3.3,1,0,6.666666666666667,0.14,0.0,0,0,6
TennesseeTen,22,403,97,29,3.3,306,323,10.8,2,61,6.6,0,0,7.714285714285714,0.54,0.5,1,1,7
TennesseeTen,16,246,72,21,3.4,174,193,5.8,3,57,4.3,2,1,12.833333333333334,0.38,0.0,1,1,8
TennesseeTen,24,431,121,21,5.8,310,331,8.5,4,64,6.7,1,1,9.0,0.3,1.0,0,0,9
TennesseeTen,19,371,225,26,8.7,146,181,9.5,4,49,7.6,0,1,8.0,0.25,0.0,1,1,10
TennesseeTen,21,471,219,33,6.6,252,259,14.4,1,52,9.1,0,2,9.0,0.5,0.0,1,1,12
TennesseeTen,15,292,154,30,5.1,138,182,8.3,6,58,5.0,2,2,11.0,0.38,1.0,1,0,13
TennesseeTen,26,552,161,32,5.0,391,391,14.5,0,59,9.4,0,0,5.25,0.72,0.0,1,0,14
TennesseeTen,24,432,163,28,5.8,269,279,7.5,2,67,6.4,2,0,7.5,0.4,0.5,0,1,15
TennesseeTen,17,397,149,26,5.7,248,272,10.1,5,58,6.8,0,1,9.333333333333334,0.38,0.0,0,1,16
TennesseeTen,25,467,245,39,6.3,222,222,10.6,0,60,7.8,1,0,7.4,0.5,0.0,1,0,17
