,First downs,Total Net Yards,Net Yards Rushing,Rushing Plays,Avg. Yds/Rush,Net Yards Passing,Gross Yards Passing,Avg. Yds/Att Passing,Sacked,Total Plays,Average Gain,Interceptions,Fumbles Lost,Penalty Avg. Yds Lost,Third Down Pct,Fourth Down Pct,Outcome,Home,Week
WashingtonWas,16,264,64,17,3.8,200,240,6.0,4,61,4.3,1,3,7.5,0.27,0.0,0,1,1
WashingtonWas,21,385,229,39,5.9,156,179,6.6,2,68,5.7,1,0,6.25,0.38,0.0,1,0,2
WashingtonWas,18,472,116,34,3.4,356,365,12.2,1,65,7.3,2,2,7.7,0.46,0.0,1,1,3
WashingtonWas,15,331,111,26,4.3,220,220,9.2,0,50,6.6,0,1,6.285714285714286,0.36,1.0,0,0,4
WashingtonWas,25,419,94,33,2.8,325,330,8.9,1,71,5.9,1,1,8.6,0.5,0.0,1,1,6
WashingtonWas,19,344,75,18,4.2,269,303,7.6,4,62,5.5,1,0,11.0,0.33,0.0,0,0,7
WashingtonWas,16,285,49,15,3.3,236,263,6.7,4,58,4.9,0,2,6.4,0.3,1.0,0,1,8
WashingtonWas,16,244,51,23,2.2,193,247,8.0,6,60,4.1,2,1,8.857142857142858,0.3,0.0,1,0,9
WashingtonWas,24,394,81,27,3.0,313,327,7.3,1,73,5.4,2,0,7.5,0.35,0.6,0,1,10
WashingtonWas,24,456,156,33,4.7,300,322,10.1,2,67,6.8,1,0,7.444444444444445,0.33,1.0,0,0,11
WashingtonWas,17,323,122,31,3.9,201,242,7.8,6,68,4.8,1,0,6.875,0.26,0.0,1,1,12
WashingtonWas,15,280,56,19,2.9,224,251,6.8,4,60,4.7,0,2,6.142857142857143,0.42,0.0,0,0,13
WashingtonWas,9,201,65,21,3.1,136,151,5.6,2,50,4.0,1,0,11.75,0.16,0.5,0,0,14
WashingtonWas,14,218,31,20,1.6,187,196,7.5,1,47,4.6,1,1,11.714285714285714,0.11,0.0,1,1,15
WashingtonWas,19,386,87,29,3.0,299,299,8.1,0,66,5.8,1,1,5.833333333333333,0.38,0.0,1,1,16
WashingtonWas,10,197,61,16,3.8,136,158,4.3,3,56,3.5,1,0,8.75,0.07,1.0,0,0,17
WashingtonWas,30,429,182,42,4.3,247,255,8.5,3,75,5.7,1,1,7.0,0.46,1.0,1,0,1
WashingtonWas,20,334,65,22,3.0,269,292,6.3,3,71,4.7,2,1,12.857142857142858,0.33,0.5,0,1,2
WashingtonWas,20,386,166,35,4.7,220,220,11.0,0,55,7.0,0,0,11.0,0.45,0.0,1,1,3
WashingtonWas,18,283,39,18,2.2,244,275,7.1,3,60,4.7,0,1,6.333333333333333,0.3,0.5,0,0,5
WashingtonWas,18,288,132,28,4.7,156,163,4.5,3,67,4.3,1,0,8.6,0.43,0.5,1,1,6
WashingtonWas,15,305,130,32,4.1,175,178,7.1,1,58,5.3,0,0,7.0,0.25,0.0,1,1,7
WashingtonWas,20,360,182,33,5.5,178,178,5.6,0,65,5.5,2,1,11.25,0.4,0.0,1,0,8
